settlement_code,settlement,rows
,סביון*,1914
,יפיע,1888
499,יפיע,1888
,אבו סנאן,1865
473,אבו סנאן,1865
757,מצליח,1829
,מצליח,1829
543,ראמה,1828
,ראמה,1828
26,ראש פינה,1791
,ראש פינה,1791
1345,צור יצחק,1740
,צור יצחק,1740
,ג'ת,1721
628,ג'ת,1721
192,כפר החורש,1710
,צור נתן,1710
1148,צור נתן,1710
,כפר החורש,1710
,צורן,1702
1292,ג'דיידה-מכר,1634
,ג'דיידה-מכר,1634
2720,טירה,1633
,טירה,1633
,ערערה,1598
637,ערערה,1598
,דבוריה,1531
489,דבוריה,1531
171,פרדסיה,1528
,פרדסיה,1528
753,ינוב,1523
,ינוב,1523
,דייר חנא,1521
492,דייר חנא,1521
,מכבים-רעות,1509
,אכסאל,1495
478,אכסאל,1495
449,נחלים,1447
,נחלים,1447
559,בוסתן הגליל,1439
,בוסתן הגליל,1439
1319,בת חפר,1402
,בת חפר,1402
511,עילוט,1368
,עילוט,1368
,משהד,1363
520,משהד,1363
804,אחיסמך,1341
,אחיסמך,1341
1137,קריית יערים,1326
,קריית יערים,1326
,שדות ים,1315
327,שדות ים,1315
,כפר שמריהו,1314
267,כפר שמריהו,1314
,כוכב יאיר,1311
535,פסוטה,1288
,פסוטה,1288
525,סאג'ור,1272
,סאג'ור,1272
530,עיילבון,1233
,עיילבון,1233
1286,שגב-שלום,1160
483,בענה,1160
,שגב-שלום,1160
,בענה,1160
,אפק,1136
313,אפק,1136
,צור יגאל,1103
,ג'ש )גוש חלב(,1075
487,ג'ש )גוש חלב(,1075
,כאבול,1063
504,כאבול,1063
130,משמר העמק,996
,משמר העמק,996
,גליל ים,990
346,גליל ים,990
158,נען,960
,נען,960
,בן זכאי,951
760,בן זכאי,951
654,כפר קרע,949
,כפר קרע,949
,צהל,934
,עין כרמל,911
426,עין כרמל,911
633,כפר ברא,897
,כפר ברא,897
496,חורפיש,888
,חורפיש,888
359,ניצנים,880
,ניצנים,880
975,זרזיר,871
,זרזיר,871
,פוריידיס,859
537,פוריידיס,859
,רמת אפעל,851
,עין המפרץ,837
289,עין המפרץ,837
,שער אפרים,832
661,שער אפרים,832
1313,פוריה עילית,818
,פוריה עילית,818
,אליכין,816
41,אליכין,816
9400,יהוד-מונוסון,801
,יהוד-מונוסון,801
,יקנעם )מושבה(,791
241,יקנעם )מושבה(,791
,רשפון,772
247,רשפון,772
,בועיינה-נוג'ידאת,763
482,בועיינה-נוג'ידאת,763
,פקיעין )בוקייעה(,756
536,פקיעין )בוקייעה(,756
,יד חנה,743
758,יד חנה,743
,מרכז שפירא,742
1098,מרכז שפירא,742
,צור משה,736
276,צור משה,736
147,גבעת ברנר,734
,גבעת ברנר,734
,ג'סר א-זרקא,733
541,ג'סר א-זרקא,733
,ביר אל-מכסור,710
998,ביר אל-מכסור,710
,ניר גלים,706
720,ניר גלים,706
472,אבו גוש,705
,אבו גוש,705
,נחלת יהודה,694
,מרחביה )מושב(,678
97,מרחביה )מושב(,678
,גן נר,675
1274,גן נר,675
,תל עדשים,669
103,תל עדשים,669
,מ. א. מטה יהודה,667
,נופית,664
1284,נופית,664
,גבת,662
133,גבת,662
787,גבעת יערים,660
,גבעת יערים,660
490,דייר אל-אסד,659
,דייר אל-אסד,659
1327,מעלה עירון,650
,מעלה עירון,650
,שורש,645
456,שורש,645
,משמר הנגב,642
395,משמר הנגב,642
,מ. א. משגב,641
1161,רהט,640
,רהט,640
,שעב,638
538,שעב,638
,כפר מנחם,632
274,כפר מנחם,632
,גזר,630
370,גזר,630
,שדה ורבורג,626
284,שדה ורבורג,626
155,באר טוביה,619
,באר טוביה,619
,יאנוח-ג'ת,618
1295,יאנוח-ג'ת,618
2038,ברקת,618
,ברקת,618
,כאוכב אבו אל-היג'א,614
505,כאוכב אבו אל-היג'א,614
43,מטולה,613
,מטולה,613
23,אמציה,610
,אמציה,610
,שפיים,604
232,שפיים,604
,משגב,599
63,כנרת )מושבה(,587
,כנרת )מושבה(,587
1337,שמשית,576
,שמשית,576
,כסרא-סמיע,574
1296,כסרא-סמיע,574
1071,נווה מיכאל,568
,נווה מיכאל,568
,רמות השבים,567
206,רמות השבים,567
,נווה אפרים,566
389,בצרה,556
,בצרה,556
,ניצן,556
351,ניצן,556
432,שמרת,555
,שמרת,555
375,מגל,554
,מגל,554
242,בית השיטה,542
,בית השיטה,542
,ג'לג'וליה,541
627,ג'לג'וליה,541
,בית יצחק-שער חפר,530
326,בית יצחק-שער חפר,530
,בני דרור,530
386,בני דרור,530
1050,בית חשמונאי,528
,בית חשמונאי,528
1243,קציר,527
,קציר,527
,בסמת טבעון,522
944,בסמת טבעון,522
,חוסן,521
662,חוסן,521
,יסוד המעלה,518
29,יסוד המעלה,518
363,חפץ חיים,517
,חפץ חיים,517
335,רמת השופט,516
,רמת השופט,516
,גני הדר,514
1103,גני הדר,514
,מתן,506
1315,מתן,506
,מענית,495
,החותרים,495
434,החותרים,495
344,מענית,495
1128,מי עמי,491
,מי עמי,491
523,ניין,488
,ניין,488
,אלונים,487
278,אושה,487
285,אלונים,487
,אושה,487
,מכר,485
,תל יצחק,483
287,תל יצחק,483
,"כפר אז""ר",482
269,מולדת,480
,מולדת,480
577,יד בנימין,479
,יד בנימין,479
,רגבה,476
390,רגבה,476
693,"נתיב הל""ה",471
,מועאוויה,471
,"נתיב הל""ה",471
94,בלפוריה,469
,בלפוריה,469
2033,בית חלקיה,468
,בית חלקיה,468
,רוחמה,464
362,רוחמה,464
,עדי,461
1199,עדי,461
,בחן,457
2043,בחן,457
1056,"עין כרם-בי""ס חקלאי",454
1108,אומן,454
,אומן,454
,"עין כרם-בי""ס חקלאי",454
418,בני ציון,452
,בני ציון,452
,מאור,451
2055,מאור,451
447,נורדיה,449
,נורדיה,449
159,בית חנן,447
,בית חנן,447
440,יסודות,446
,יסודות,446
,גבעת אבני,445
1293,גבעת אבני,445
,לפיד,444
1310,לפיד,444
,נגבה,441
315,נגבה,441
49,אילניה,436
,אילניה,436
62,דגניה א',434
,דגניה א',434
,זמר,431
1290,זמר,431
675,הבונים,426
,הבונים,426
,שדה בוקר,424
885,שדה בוקר,424
,משמר דוד,421
563,משמר דוד,421
962,טובא-זנגריה,418
,טובא-זנגריה,418
,פוריה - נווה עובד,411
1105,פוריה - נווה עובד,411
613,ציפורי,410
,ציפורי,410
,שער העמקים,408
237,שער העמקים,408
254,כפר המכבי,407
,כפר המכבי,407
,עין שריד,407
880,עין שריד,407
825,נס הרים,405
340,גת )קיבוץ(,405
,גת )קיבוץ(,405
,נס הרים,405
,באר אורה,402
21,באר אורה,402
,חרב לאת,396
,אלוני אבא,396
422,חרב לאת,396
429,אלוני אבא,396
1110,חבר,390
,חבר,390
,גן שלמה,387
144,גן שלמה,387
635,מוקייבלה,385
,גת בגליל,385
,מוקייבלה,385
1204,גילון,384
282,שבי ציון,384
,שבי ציון,384
,גילון,384
,חספין,383
139,עין שמר,383
,עדנים,383
4005,חספין,383
,עין שמר,383
2035,עדנים,383
,מ. א. תמר,381
,מ. א. הגליל העליון,380
325,מצובה,379
,מצובה,379
400,אבן שמואל,376
33,בת שלמה,376
,בת שלמה,376
,אבן שמואל,376
,נווה אילן,375
405,נווה אילן,375
444,רגבים,375
,כרמים,375
,רגבים,375
1198,כרמים,375
,נהורה,374
309,נהורה,374
393,גלאון,374
,גלאון,374
579,כפר ראש הנקרה,373
,כפר ראש הנקרה,373
239,גן חיים,367
,גן חיים,367
48,מנחמיה,364
,מנחמיה,364
,הסוללים,359
677,הסוללים,359
259,שדה נחום,358
,שדה נחום,358
,יאנוח,356
1114,שריגים )לי-און(,356
2018,גבעת חיים )איחוד(,356
,גבעת חיים )איחוד(,356
,שריגים )לי-און(,356
95,בית אלפא,355
,בית אלפא,355
564,רבדים,353
,רבדים,353
199,אשדות יעקב )איחוד(,350
,אשדות יעקב )איחוד(,350
,כברי,348
576,כברי,348
,חפצי-בה,347
90,חפצי-בה,347
1188,אשחר,347
,אשחר,347
,גילת,346
736,גילת,346
,כפר הנשיא,345
443,כפר הנשיא,345
718,ירחיב,344
,ירחיב,344
235,חבצלת השרון,343
,חבצלת השרון,343
,עין איילה,341
687,עין איילה,341
692,שפיר,340
,שפיר,340
,דבירה,338
294,אילון,334
,קריית ענבים,334
78,קריית ענבים,334
,אילון,334
425,משמרת,331
,משמרת,331
,שריד,330
126,שריד,330
,בית ניר,329
115,חופית,329
,חופית,329
16,בית ניר,329
198,צופית,327
270,עין השופט,327
,צופית,327
,עין השופט,327
,שכניה,326
,מזרע,326
1160,שכניה,326
104,מזרע,326
445,רמות מנשה,326
436,עין דור,326
,רמות מנשה,326
,עין דור,326
524,נאעורה,325
,נאעורה,325
617,ברקאי,324
,ברקאי,324
,גדיידה,323
913,שבלי - אום אל-גנם,322
,שבלי - אום אל-גנם,322
,סלמה,320
1245,סלמה,320
,מוצא עילית,319
208,מוצא עילית,319
,תמרת,314
1244,תמרת,314
,שתולים,312
763,שתולים,312
,כפר דניאל,310
707,כפר דניאל,310
374,חוקוק,308
,חוקוק,308
771,מבוא ביתר,307
1257,חנתון,307
,חנתון,307
,מבוא ביתר,307
,כפר כמא,305
508,כפר כמא,305
,בת חצור,303
,מגידו,302
586,מגידו,302
,יסעור,302
575,יסעור,302
1288,גבעת אלה,301
,זלפה,301
,גבעת אלה,301
85,כפר יחזקאל,300
1207,לבון,300
,כפר יחזקאל,300
,לבון,300
,גן השומרון,299
92,גיניגר,299
225,גן השומרון,299
,גיניגר,299
407,דברת,298
,דברת,298
,כרמי יוסף,298
1264,כרמי יוסף,298
,הגושרים,295
356,הגושרים,295
,תלמי יפה,295
744,תלמי יפה,295
,גבעות בר,293
1344,גבעות בר,293
,יחיעם,292
409,יחיעם,292
,שדה יואב,290
293,שדה יואב,290
437,רשפים,288
,רשפים,288
1326,"בסמ""ה",287
,עין ורד,287
157,עין ורד,287
,כפר מסריק,287
,"בסמ""ה",287
,יפעת,287
134,יפעת,287
297,כפר מסריק,287
607,מירון,285
,מירון,285
978,כעביה-טבאש-חג'אג'רה,284
,חולתה,284
,כעביה-טבאש-חג'אג'רה,284
253,חולתה,284
,איילת השחר,283
77,איילת השחר,283
,"כפר חב""ד",282
696,"כפר חב""ד",282
,סולם,281
526,סולם,281
262,גינוסר,280
,גינוסר,280
256,ניר דוד )תל עמל(,278
,מסד,278
1258,מסד,278
,ניר דוד )תל עמל(,278
,חניתה,277
280,חניתה,277
,*קדימה-צורן*,275
562,בית אלעזרי,275
,בית אלעזרי,275
701,ארבל,274
,ארבל,274
806,עין יהב,274
,עין יהב,274
66,מרחביה )קיבוץ(,273
517,מזרעה,273
,מזרעה,273
,מרחביה )קיבוץ(,273
591,עשרת,271
572,בית העמק,271
,בית העמק,271
,עשרת,271
423,העוגן,271
,העוגן,271
18,שדה משה,271
,שדה משה,271
416,מעין ברוך,270
213,משמרות,270
,משמרות,270
,מעין ברוך,270
305,גשר,268
,אבטין,268
652,אבטין,268
,גשר,268
160,חולדה,267
,חולדה,267
,רם-און,267
1069,רם-און,267
,גזית,265
457,גזית,265
723,בית הגדי,263
,בית הגדי,263
1171,לוטם,262
,לוטם,262
1080,מבועים,261
175,אביחיל,261
,אביחיל,261
,מבועים,261
,מבקיעים,261
573,מבקיעים,261
1178,מורשת,260
,טל-אל,260
1181,טל-אל,260
,מורשת,260
,ברור חיל,259
428,ברור חיל,259
1176,ספיר,259
,ספיר,259
,להבות הבשן,258
,כפר נטר,258
380,להבות הבשן,258
316,כפר נטר,258
24,לכיש,257
,לכיש,257
,הודיה,253
,געש,253
842,געש,253
726,הודיה,253
388,כפר קיש,252
,כפר קיש,252
,קלחים,252
414,קלחים,252
663,טירת יהודה,251
,טירת יהודה,251
1336,אירוס,250
,גבע כרמל,250
683,גבע כרמל,250
,כפר יהושע,250
,הושעיה,250
,אירוס,250
140,כפר יהושע,250
1186,הושעיה,250
,ביצרון,247
234,ביצרון,247
861,שדה אליעזר,246
,שדה אליעזר,246
,לוזית,245
599,פרוד,245
52,לוזית,245
,פרוד,245
1145,אלומה,244
,אלומה,244
357,כפר בלום,244
,כפר בלום,244
856,שעלבים,244
,שעלבים,244
1275,אבטליון,241
,אבטליון,241
1070,אביעזר,240
,אביעזר,240
,מסלול,239
748,מסלול,239
,שובל,238
394,שובל,238
,בית עמרא,237
,דפנה,237
302,דפנה,237
163,תימורים,235
,תימורים,235
,טירת צבי,234
268,טירת צבי,234
,כפר יעבץ,234
170,כפר יעבץ,234
385,עמיעד,233
,עמיעד,233
,בני יהודה,232
,אשלים,232
1152,אשלים,232
4015,בני יהודה,232
,נחם,232
809,נחם,232
,כפר הס,231
,כפר סירקין,231
249,כפר סירקין,231
187,כפר הס,231
,לוחמי הגיטאות,230
595,לוחמי הגיטאות,230
,כוכב מיכאל,230
824,כוכב מיכאל,230
,שדה נחמיה,229
377,המעפיל,229
329,שדה נחמיה,229
,המעפיל,229
768,כרמיה,228
,כרמיה,228
,בית לחם הגלילית,225
430,בית לחם הגלילית,225
,עין יעקב,225
813,עין יעקב,225
1104,פוריה - כפר עבודה,224
,פוריה - כפר עבודה,224
1047,חזון,224
,חזון,224
1221,צורית,223
1226,יובלים,223
,צורית,223
,יובלים,223
,עצמון שגב,222
917,עצמון שגב,222
,כפר ידידיה,221
57,כנרת )קבוצה(,221
233,כפר ידידיה,221
,כנרת )קבוצה(,221
801,חמד,219
,חמד,219
689,מגדים,219
,מגדים,219
740,אשתאול,218
,אשתאול,218
615,קדרון,217
292,שרונה,217
190,כפר ויתקין,217
,קדרון,217
,שרונה,217
,כפר ויתקין,217
,ערוגות,217
593,ערוגות,217
442,גדעונה,216
408,נאות מרדכי,216
,גני יהודה,216
,גדעונה,216
,נאות מרדכי,216
,בית שקמה,215
597,פלמחים,215
,משמר הירדן,215
732,משמר הירדן,215
747,בית שקמה,215
,פלמחים,215
,מעגן,214
320,כפר ורבורג,214
678,מעגן,214
,כפר ורבורג,214
592,בני דרום,211
,בני דרום,211
,שורשים,211
255,כפר חיטים,211
,כפר חיטים,211
1235,שורשים,211
919,גבעת ישעיהו,210
,גבעת ישעיהו,210
,כורזים,209
1252,כורזים,209
1054,תל שבע,209
,תל שבע,209
690,כפר אחים,208
4026,חד-נס,208
,כפר אחים,208
219,חיבת ציון,208
,חיבת ציון,208
,חד-נס,208
870,גבעת השלושה,207
,עין צורים,207
,גבעת השלושה,207
1182,אלון הגליל,207
,כפר רופין,207
,אלון הגליל,207
295,כפר רופין,207
,זיתן,207
788,זיתן,207
622,עין צורים,207
,מנוחה,205
,תל קציר,205
2030,מנוחה,205
719,תל קציר,205
,אדרת,204
1123,אדרת,204
888,"כפר הרי""ף",204
,אשבול,204
308,מחניים,204
,מחניים,204
,"כפר הרי""ף",204
71,אשבול,204
,כמון,203
1201,כמון,203
,עמיר,202
330,אלומות,202
,חגלה,202
319,עמיר,202
44,זוהר,202
205,חגלה,202
,זוהר,202
,אלומות,202
,עין העמק,201
367,עין העמק,201
,דן,201
218,גני עם,201
,גני עם,201
,מושיירפה,201
303,דן,201
1057,נווה זוהר,200
,נבטים,200
217,"כפר הרא""ה",200
396,נבטים,200
,"כפר הרא""ה",200
,נווה זוהר,200
67,אור הנר,199
749,פטיש,199
,אור הנר,199
,פטיש,199
672,בית נקופה,199
,מוצא תחתית,199
,נהלל,199
,בית נקופה,199
80,נהלל,199
,גיאה,198
706,גיאה,198
382,מכמורת,197
,דגניה ב',197
98,"כפר מל""ל",197
,"כפר מל""ל",197
79,דגניה ב',197
,מכמורת,197
,אבו ג'ווייעד )שבט(,197
967,אבו ג'ווייעד )שבט(,197
,אשרת,196
1256,אשרת,196
673,כפר טרומן,195
174,נטעים,195
,נטעים,195
,כפר טרומן,195
59,נחושה,194
,נחושה,194
769,ניר עציון,193
,ניר עציון,193
1172,תובל,192
,תובל,192
177,"כפר ביל""ו",191
,עין אל-אסד,191
,"כפר ביל""ו",191
546,עין אל-אסד,191
1228,רקפת,190
,יודפת,190
,משמר השבעה,190
1112,יודפת,190
,רקפת,190
729,משמר השבעה,190
,רמת דוד,189
,דקל,189
,אביאל,189
1241,דקל,189
679,אביאל,189
135,רמת דוד,189
,"יד רמב""ם",189
64,"יד רמב""ם",189
,עוזייר,188
528,עוזייר,188
,תלמי יחיאל,186
727,תלמי יחיאל,186
,עזריקם,185
312,נווה ים,185
817,עזריקם,185
,שחר,185
7,שחר,185
,נווה ים,185
684,היוגב,184
,רביבים,184
,היוגב,184
,ביתר עילית,184
354,רביבים,184
3780,ביתר עילית,184
2023,להב,183
2060,ברוש,183
,להב,183
,אמונים,183
815,זבדיאל,183
,ברוש,183
,זבדיאל,183
772,אמונים,183
,מעוז חיים,182
838,פדיה,182
,נחשון,182
1165,שילת,182
,פדיה,182
,שילת,182
272,מעוז חיים,182
777,נחשון,182
,כפר בן נון,181
2010,כפר בן נון,181
594,צפריה,181
,מצר,181
,כפר סמיע,181
648,מצר,181
,צפריה,181
1331,כמאנה,180
,עין הבשור,180
1240,עין הבשור,180
,כמאנה,180
,כפר ביאליק,180
220,כפר ביאליק,180
,כיסרא,179
,זרועה,179
2064,זרועה,179
,בית קשת,179
342,גברעם,179
,גברעם,179
365,בית קשת,179
176,אפיקים,178
,אפיקים,178
36,שדה דוד,177
,שדה דוד,177
800,בית חנניה,177
76,כפר גלעדי,177
,בית חנניה,177
,כפר גלעדי,177
,עמיקם,177
773,עמיקם,177
,מ. א. גן רוה,175
,תלמי אלעזר,175
2003,תלמי אלעזר,175
,חרוצים,174
1024,חרוצים,174
1272,חלוץ,173
,ניר צבי,173
,גן יאשיה,173
,הררית,173
1203,הררית,173
,עין איברהים,173
734,גן יאשיה,173
,חלוץ,173
,אחוזת ברק,173
331,ניר צבי,173
1330,אחוזת ברק,173
686,נווה ימין,172
521,עין נקובא,172
,"כרם מהר""ל",172
,נווה ימין,172
580,"כרם מהר""ל",172
,סגולה,172
2046,סגולה,172
,עין נקובא,172
,קרית יערים)מוסד(,171
2039,קרית יערים)מוסד(,171
,איבתאן,170
2048,ניר עקיבא,169
,ניר עקיבא,169
387,כפר מונש,168
,כפר מונש,168
,מייסר,168
649,מייסר,168
,יפתח,167
1249,הרדוף,167
453,יפתח,167
,הרדוף,167
1183,כליל,166
1132,שניר,166
194,משמר השרון,166
,משמר השרון,166
,כליל,166
,שניר,166
850,אחיטוב,165
,מלכיה,165
,להבות חביבה,165
715,להבות חביבה,165
,אחיטוב,165
596,מלכיה,165
,תנובות,164
,ימא,164
1068,אדמית,164
2002,תנובות,164
,אדמית,164
,ניר ישראל,164
699,ניר ישראל,164
,בקוע,163
864,בקוע,163
,מסילת ציון,162
,מגן שאול,162
188,אשדות יעקב )מאוחד(,162
,חירות,162
742,מסילת ציון,162
1368,בני דקלים,162
,אשדות יעקב )מאוחד(,162
339,רמת צבי,162
,רמת צבי,162
,מרגה,162
1155,מגן שאול,162
,בני דקלים,162
162,חירות,162
2061,תדהר,161
588,בני ראם,161
1192,ערערה-בנגב,161
,גונן,161
852,גונן,161
,ערערה-בנגב,161
,תדהר,161
,בני ראם,161
590,נווה אור,160
,קדרים,160
1211,קדרים,160
1064,אמירים,160
,אמירים,160
,נווה אור,160
865,שיבולים,159
,שיבולים,159
2045,נחלה,159
,נחלה,159
,חלץ,159
132,כפר ברוך,159
,כפר ברוך,159
820,חלץ,159
795,יערה,158
,מ. א. הגליל התחתון,158
,יערה,158
,מ. א. חבל יבנה,158
1206,גיתה,157
,גיתה,157
730,אליפלט,157
,אליפלט,157
785,אחיהוד,156
1253,אמנון,156
,דליה,156
300,דליה,156
,אמנון,156
,אחיהוד,156
398,שרשרת,156
,שרשרת,156
1179,קורנית,155
,קורנית,155
,מכמנים,154
,חמדיה,154
1202,מכמנים,154
343,חמדיה,154
710,בית זית,154
,בית זית,154
,נחשולים,153
,יד נתן,153
433,נחשולים,153
,שדה צבי,153
,"מצפה אבי""ב",153
2049,שדה צבי,153
1222,"מצפה אבי""ב",153
775,יד נתן,153
,חצב,151
700,חצב,151
,לביא,150
,מעש,150
,ביתן אהרן,150
,בצת,150
252,ביתן אהרן,150
589,בצת,150
230,מעש,150
585,לביא,150
,חצבה,149
13,חצבה,149
,מ. א. מרום הגליל,149
606,מזור,148
,מזור,148
263,מסדה,148
,מסדה,148
383,"עין הנצי""ב",147
439,שלוחות,147
,רומאנה,147
,שלוחות,147
539,רומאנה,147
682,אליקים,147
,אליקים,147
,"עין הנצי""ב",147
808,ניר אליהו,146
298,מסילות,146
,ניר אליהו,146
818,זרחיה,146
,אבן ספיר,146
2012,אורות,146
,זרחיה,146
,אורות,146
,מסילות,146
783,אבן ספיר,146
,עין חרוד )מאוחד(,145
2015,שדי חמד,145
82,עין חרוד )מאוחד(,145
,שדי חמד,145
,לימן,145
674,לימן,145
,עזריאל,144
2013,בן שמן )מושב(,144
858,נווה ירק,144
,בן שמן )מושב(,144
837,עזריאל,144
,נווה ירק,144
200,בית ינאי,143
,בית ינאי,143
2014,גבעולים,143
1303,חורה,143
,גבעולים,143
1236,נירית,143
,נירית,143
,חורה,143
737,עולש,141
793,גבעתי,141
,עולש,141
,גבעתי,141
,ניצני עוז,140
11,"ניר ח""ן",140
,בית יהושע,140
,"ניר ח""ן",140
851,ניצני עוז,140
288,בית יהושע,140
310,כפר גליקסון,139
,כפר גליקסון,139
,מ. א. בקעת בית שאן,139
143,בית זרע,138
,הזורעים,138
307,הזורעים,138
446,אודים,138
819,אביגדור,138
,אודים,138
,אביגדור,138
,בית זרע,138
,בית גוברין,137
,אורה,137
780,אורה,137
619,בית גוברין,137
141,ברק,136
,מחנה גבעת חנניה,136
,ברק,136
802,"גבעת כ""ח",135
,"גבעת כ""ח",135
,רמת רזיאל,135
460,רמת רזיאל,135
,מעלה החמישה,134
1314,נווה זיו,134
,נווה זיו,134
286,מעלה החמישה,134
1095,כפר מימון,133
,יעד,133
1138,יעד,133
,כפר מימון,133
1233,שקף,133
,ריחאניה,133
,לבנים,133
,בארותיים,133
540,ריחאניה,133
722,מגשימים,133
1230,לבנים,133
,מגשימים,133
,שקף,133
697,בארותיים,133
751,בית מאיר,132
368,ביריה,132
,בית מאיר,132
,ביריה,132
,שדה יעקב,131
1210,כחל,131
142,שדה יעקב,131
,כחל,131
,שייח' דנון,130
,רמת חובב,130
658,שייח' דנון,130
,אומץ,129
680,אומץ,129
,בית עריף,129
604,בית עריף,129
,יבול,128
,פורת,128
605,כפר שמאי,128
,קוממיות,128
,נירים,128
602,נירים,128
1232,יבול,128
767,פורת,128
,כפר שמאי,128
766,קוממיות,128
,דורות,128
336,דורות,128
828,ישרש,127
1174,מנוף,127
1143,נס עמים,127
1323,בת הדר,127
,מנוף,127
,טפחות,127
,נס עמים,127
1214,טפחות,127
,ישרש,127
,בת הדר,127
,עין הוד,126
,שדמות דבורה,126
306,שדמות דבורה,126
74,עין הוד,126
,גפן,125
845,כפר עזה,125
,כפר עזה,125
39,גפן,125
,ינון,124
791,משען,124
2011,ינון,124
58,מצפה,124
,מצפה,124
,משען,124
