settlement_code,settlement,year,rows
,מטולה,1998,18
,מנחמיה,1998,7
,מסד,1998,6
,מצפה,1998,3
,מרגליות,1998,1
,משהד,1998,85
,משמר הירדן,1998,1
,נאעורה,1998,9
,נהלל,1998,9
,נופית,1998,109
,ניין,1998,22
,סולם,1998,38
,עארה,1998,5
,עופר,1998,2
,עיילבון,1998,50
,עילוט,1998,258
,עין איילה,1998,10
,עין הוד,1998,3
,עין העמק,1998,4
,עין זיתים,1998,4
,עין מאהל,1998,31
,עין עירון,1998,1
,עכברה,1998,5
,עמיקם,1998,31
,עספיא,1998,98
,ערערה,1998,36
,עתלית,1998,47
,פוריה - כפר עבודה,1998,5
,פוריה - נווה עובד,1998,4
,פוריה עילית,1998,18
,פוריידיס,1998,19
,ציפורי,1998,8
,צפת,1998,419
,צרופה,1998,11
,קורנית,1998,3
,קיסריה,1998,93
,קציר,1998,42
,קריית טבעון,1998,187
,קריית שמונה,1998,191
,ראש פינה,1998,63
,רגבים,1998,5
,רומת הייב,1998,3
,ריחאניה,1998,6
,ריינה,1998,311
,רכסים,1998,63
,רמת ישי,1998,133
,שבלי - אום אל-גנם,1998,3
,שדות ים,1998,44
,שדמות דבורה,1998,3
,שכניה,1998,5
,שפרעם,1998,203
,שרונה,1998,10
,תל עדשים,1998,4
,תמרת,1998,3
,*קדימה-צורן*,1998,1
,אבן יהודה,1998,113
,אודים,1998,2
,אזור,1998,124
,אחיטוב,1998,7
,אחיסמך,1998,1
,אחיעזר,1998,3
,איבתאן,1998,1
,אליכין,1998,18
,אלישמע,1998,6
,אלעד,1998,402
,באקה אל-גרביה,1998,42
,בארותיים,1998,7
,ביר א סכה,1998,4
,בית אלעזרי,1998,8
,בית גמליאל,1998,1
,בית דגן,1998,73
,בית חנניה,1998,6
,בית חשמונאי,1998,1
,בית ינאי,1998,12
,בית יצחק-שער חפר,1998,10
,בית נחמיה,1998,4
,בית עזרא,1998,4
,ביתן אהרן,1998,2
,בן זכאי,1998,3
,בן שמן )מושב(,1998,4
,בני דרור,1998,17
,בני עטרות,1998,1
,בני ציון,1998,79
,בני ראם,1998,5
,בניה,1998,4
,בצרה,1998,10
,בת חפר,1998,6
,ג'לג'וליה,1998,34
,ג'סר א-זרקא,1998,29
,ג'ת,1998,32
,גאולים,1998,13
,גבעת השלושה,1998,2
,גבעת חיים )איחוד(,1998,3
,גבעת שמואל,1998,385
,גדרה,1998,210
,גליל ים,1998,5
,גן השומרון,1998,3
,גן חיים,1998,17
,גן יאשיה,1998,5
,גן שמואל,1998,1
,גני הדר,1998,2
,גני יהודה,1998,1
,גני יוחנן,1998,3
,גני עם,1998,16
,גני תקווה,1998,296
,געש,1998,29
,הדר עם,1998,2
,זיתן,1998,12
,חבצלת השרון,1998,3
,חגור,1998,1
,חגלה,1998,37
,חופית,1998,13
,חיבת ציון,1998,1
,חירות,1998,7
,חניאל,1998,1
,חרב לאת,1998,16
,טייבה,1998,71
,טירה,1998,28
,טירת יהודה,1998,7
,טל שחר,1998,1
,יד חנה,1998,127
,"יד רמב""ם",1998,1
,יהוד,1998,489
,ימא,1998,6
,ינוב,1998,2
,יציץ,1998,1
,יקום,1998,1
,ירחיב,1998,48
,ישרש,1998,7
,כוכב יאיר,1998,11
,כעביה-טבאש-חג'אג'רה,1998,11
,כפר אביב,1998,3
,"כפר אז""ר",1998,3
,כפר ברא,1998,7
,כפר הס,1998,16
,כפר חיים,1998,2
,כפר טרומן,1998,57
,כפר יונה,1998,319
,כפר יעבץ,1998,2
,כפר מונש,1998,1
,"כפר מל""ל",1998,4
,כפר מרדכי,1998,1
,כפר נטר,1998,2
,כפר קאסם,1998,33
,כפר רות,1998,8
,כפר שמואל,1998,6
,כפר שמריהו,1998,21
,כרמי יוסף,1998,2
,לפיד,1998,19
,מ. א. חבל מודיעין,1998,2
,מאור,1998,1
,מגל,1998,1
,מזכרת בתיה,1998,90
,מייסר,1998,7
,מישר,1998,1
,מכבים-רעות,1998,91
,מכמורת,1998,1
,מעש,1998,3
,מצליח,1998,1
,מרגה,1998,4
,משמר השרון,1998,2
,משמרות,1998,1
,משמרת,1998,10
,מתן,1998,23
,נווה אפרים,1998,16
,נווה ימין,1998,2
,נווה ירק,1998,1
,נווה מבטח,1998,1
,נוף איילון,1998,2
,נורדיה,1998,16
,נחלים,1998,6
,ניצני עוז,1998,1
,נירית,1998,45
,סביון*,1998,30
,עדי,1998,11
,עדנים,1998,9
,עזריאל,1998,2
,עין ורד,1998,3
,עין שמר,1998,2
,עין שריד,1998,3
,עשרת,1998,2
,פורת,1998,3
,פרדסיה,1998,30
,פתחיה,1998,6
,צופית,1998,54
,צור יגאל,1998,50
,צור משה,1998,55
,צורן,1998,51
,צפריה,1998,1
,קדימה-צורן,1998,228
,קדרון,1998,1
,קלנסווה,1998,30
,קריית עקרון,1998,80
,ראס עלי,1998,5
,רינתיה,1998,2
,רמות השבים,1998,8
,רמת אפעל,1998,44
,רמת הכובש,1998,1
,רשפון,1998,23
,שדה ורבורג,1998,27
,שדי חמד,1998,6
,שוהם,1998,270
,שילת,1998,2
,שעלבים,1998,19
,שער אפרים,1998,187
,שפיים,1998,20
,תל יצחק,1998,20
,תל מונד,1998,243
,תנובות,1998,11
,אביגדור,1998,5
,אביחיל,1998,3
,אורה,1998,12
,אורות,1998,2
,אחווה,1998,1
,אחוזם,1998,1
,אירוס,1998,2
,אמונים,1998,4
,באר טוביה,1998,11
,בטחה,1998,2
,ביצרון,1998,11
,בית חנן,1998,8
,בית עובד,1998,3
,בית שקמה,1998,9
,"בני עי""ש",1998,90
,ברורים,1998,1
,ברכיה,1998,2
,ברקת,1998,1
,גאליה,1998,1
,גבעולים,1998,14
,גבעת ברנר,1998,1
,גבעתי,1998,2
,גזר,1998,10
,גיבתון,1998,2
,גמזו,1998,2
,גן יבנה,1998,195
,גן שורק,1998,2
,גן שלמה,1998,4
,זבדיאל,1998,6
,זוהר,1998,5
,זרחיה,1998,6
,חצב,1998,1
,חשמונאים,1998,1
,יד נתן,1998,4
,יזרעם,1998,3
,ינון,1998,5
,כפר אחים,1998,29
,"כפר ביל""ו",1998,12
,כפר דניאל,1998,1
,כפר ורבורג,1998,17
,כפר מימון,1998,12
,כפר סירקין,1998,8
,כפר עקב,1998,2
,מ. א. באר טוביה,1998,8
,מ. א. ברנר,1998,3
,מ. א. גזר,1998,1
,מ. א. גן רוה,1998,2
,מ. א. חבל יבנה,1998,8
,מ. א. לכיש,1998,1
,מ. א. עמק לוד,1998,2
,מסלול,1998,8
,מרכז שפירא,1998,34
,משען,1998,2
,נגבה,1998,3
,נהורה,1998,21
,נוגה,1998,35
,נחלת יהודה,1998,9
,נטעים,1998,4
,ניסנית,1998,6
,ניצנים,1998,2
,ניר בנים,1998,4
,ניר גלים,1998,10
,"ניר ח""ן",1998,5
,ניר ישראל,1998,17
,ניר עקיבא,1998,1
,נען,1998,1
,עוזה,1998,1
,עוצם,1998,1
,עזר,1998,1
,עזריקם,1998,1
,ערוגות,1998,12
,פטיש,1998,1
,צלפון,1998,3
,קוממיות,1998,1
,קריית מלאכי,1998,186
,קרית חיים,1998,276
,שדה דוד,1998,1
,שדה עוזיהו,1998,3
,שחר,1998,27
,שער הנגב,1998,1
,שפיר,1998,18
,שתולים,1998,41
,תימורים,1998,23
,תל יוסף,1998,1
,תלמי יחיאל,1998,6
,,1999,133
,אבו ג'ווייעד )שבט(,1999,1
,אבו גוש,1999,13
,אבו סנאן,1999,34
,אבטליון,1999,6
,אביעזר,1999,5
,אבן מנחם,1999,1
,אדורה,1999,1
,אדמית,1999,2
,אדרת,1999,2
,אום אל-פחם,1999,142
,אחיהוד,1999,2
,אילות,1999,1
,אפק,1999,5
,אשחר,1999,10
,אשלים,1999,10
,אשתאול,1999,15
,בוסתן הגליל,1999,6
,בית ג'ן,1999,56
,בית השיטה,1999,14
,בית זית,1999,15
,בית חנניה,1999,3
,בית יוסף,1999,1
,בית מאיר,1999,6
,בית נקופה,1999,6
,בית שאן,1999,171
,בני יהודה,1999,4
,בענה,1999,31
,בצת,1999,1
,בר גיורא,1999,4
,ג'דיידה-מכר,1999,20
,ג'ולס,1999,58
,גבעת יואב,1999,3
,גבעת יערים,1999,40
,גבעת ישעיהו,1999,3
,גדיידה,1999,12
,גדיש,1999,9
,גדעונה,1999,9
,גורנות הגליל,1999,1
,גילון,1999,14
,גילת,1999,11
,גיתה,1999,1
,גן נר,1999,66
,גשור,1999,1
,גת בגליל,1999,1
,דברת,1999,6
,דייר אל-אסד,1999,13
,דייר חנא,1999,28
,הילה,1999,1
,הררית,1999,2
,זכריה,1999,2
,זלפה,1999,12
,זנוח,1999,2
,חבר,1999,10
,חוסן,1999,4
,חורפיש,1999,12
,חלוץ,1999,8
,חניתה,1999,31
,חספין,1999,29
,חצבה,1999,5
,חרשים,1999,3
,טייבה )בעמק(,1999,3
,טל-אל,1999,6
,טמרה,1999,102
,יאנוח,1999,13
,יאנוח-ג'ת,1999,1
,יובלים,1999,5
,יודפת,1999,3
,יסעור,1999,1
,יעד,1999,1
,יעל,1999,4
,ירדנה,1999,1
,ירוחם,1999,85
,ירכא,1999,53
,כאבול,1999,19
,כאוכב אבו אל-היג'א,1999,10
,כיסרא,1999,19
,כליל,1999,1
,כמון,1999,7
,כנף,1999,1
,כסרא-סמיע,1999,11
,כפר אל עוברה,1999,1
,כפר החורש,1999,9
,"כפר הרי""ף",1999,6
,כפר ורדים,1999,59
,כפר חנניה,1999,2
,כפר יאסיף,1999,45
,כפר יחזקאל,1999,7
,כפר מצר,1999,1
,כפר סמיע,1999,2
,כרמל,1999,1
,לבון,1999,11
,להבים,1999,12
,לוטם,1999,2
,לפידות,1999,3
,לקיה,1999,1
,מ. א. בקעת בית שאן,1999,3
,מ. א. גולן,1999,1
,מ. א. הגליל העליון,1999,14
,מ. א. מטה אשר,1999,3
,מ. א. מטה יהודה,1999,4
,מ. א. משגב,1999,18
,מבוא ביתר,1999,11
,מבועים,1999,8
,מבשרת ציון,1999,432
,מג`ד אל-כרום,1999,113
,מגדל העמק,1999,270
,מדרשת בן גוריון,1999,1
,מולדת,1999,8
,מועאוויה,1999,5
,מוצא עילית,1999,3
,מוצא תחתית,1999,4
,מוצמוץ,1999,1
,מוקייבלה,1999,7
,מושיירפה,1999,1
,מזרעה,1999,3
,מחנה גבעת חנניה,1999,16
,מטע,1999,2
,מיטב,1999,2
,מירב,1999,1
,מירון,1999,5
,מיתר,1999,45
,מכמנים,1999,4
,מכר,1999,11
,מלאה,1999,5
,מנוף,1999,3
,מנות,1999,3
,מסילת ציון,1999,20
,מסלול,1999,9
,מעגלים,1999,3
,מעיליא,1999,97
,מעלה עירון,1999,4
,מעלות-תרשיחא,1999,322
,מצפה רמון,1999,44
,משגב,1999,4
,משמר העמק,1999,2
,נאות גולן,1999,2
,נאות סמדר,1999,1
,נבטים,1999,2
,"נווה אטי""ב",1999,2
,נווה אילן,1999,1
,נחם,1999,6
,נחף,1999,30
,ניר משה,1999,4
,נצרת,1999,260
,"נתיב הל""ה",1999,1
,נתיב השיירה,1999,1
,סאג'ור,1999,61
,סאלם,1999,4
,סגולה,1999,15
,סח'נין,1999,122
,סלמה,1999,14
,סמר,1999,1
,ספיר,1999,17
,עומר,1999,71
,עין איברהים,1999,1
,עין בוקק,1999,3
,עין המפרץ,1999,27
,עין יהב,1999,4
,עמינדב,1999,1
,עצמון שגב,1999,3
,עראבה,1999,55
,עראמשה,1999,1
,ערערה-בנגב,1999,2
,פסוטה,1999,27
,פקיעין )בוקייעה(,1999,36
,צביה,1999,1
,צהל,1999,5
,צוחר,1999,3
,צור הדסה,1999,163
,צנדלה,1999,1
,צפרירים,1999,2
,קצרין,1999,76
,קריית טבעון,1999,245
,קריית יערים,1999,14
,קרית יערים)מוסד(,1999,9
,ראמה,1999,59
,רביבים,1999,3
,רגבה,1999,1
,רהט,1999,5
,רוויה,1999,1
,רחוב,1999,2
,רם-און,1999,46
,רמת חובב,1999,4
,רמת רזיאל,1999,1
,רנן,1999,1
,רקפת,1999,2
,שבי ציון,1999,8
,שגב-שלום,1999,59
,שדה בוקר,1999,5
,שדה משה,1999,3
,שדי תרומות,1999,6
,שואבה,1999,15
,שורש,1999,23
,שורשים,1999,34
,שייח' דנון,1999,1
,שכניה,1999,50
,שלומי,1999,182
,שמשית,1999,33
,שעב,1999,1
,שעל,1999,1
,שריגים )לי-און(,1999,2
,שרשרת,1999,6
,תובל,1999,2
,תירוש,1999,3
,תל יוסף,1999,2
,"תלמי ביל""ו",1999,11
,תקומה,1999,2
,אבטין,1999,8
,אור עקיבא,1999,171
,אושה,1999,2
,אילניה,1999,6
,אכסאל,1999,23
,אלון הגליל,1999,1
,אלוני אבא,1999,13
,אליפלט,1999,1
,אליקים,1999,8
,אמירים,1999,20
,אמנון,1999,1
,אעבלין,1999,147
,ארבל,1999,1
,אשרת,1999,4
,בועיינה-נוג'ידאת,1999,8
,ביר אל-מכסור,1999,15
,ביריה,1999,5
,בית אורן,1999,4
,בית לחם הגלילית,1999,2
,בית רימון,1999,1
,בלפוריה,1999,5
,בר יוחאי,1999,6
,ברקאי,1999,1
,בת שלמה,1999,14
,ג'ש )גוש חלב(,1999,33
,גבע כרמל,1999,11
,גבעת אבני,1999,12
,גבעת אלה,1999,2
,"גבעת ניל""י",1999,2
,גבעת עדה,1999,130
,גיניגר,1999,1
,דאלית אל-כרמל,1999,164
,דבוריה,1999,30
,דור,1999,3
,דחי,1999,2
,האון,1999,1
,הושעיה,1999,1
,הזורעים,1999,1
,החותרים,1999,1
,הסוללים,1999,28
,זובידאת )שבט(,1999,1
,זכרון יעקב,1999,486
,זרזיר,1999,20
,חג'אג'רה*,1999,3
,חמאם,1999,9
,חצור הגלילית,1999,49
,חריש,1999,2
,טובא-זנגריה,1999,6
,טורעאן,1999,91
,טירת כרמל,1999,291
,טפחות,1999,7
,יבנאל,1999,150
,יסוד המעלה,1999,22
,יפיע,1999,54
,יקנעם )מושבה(,1999,36
,יקנעם עילית,1999,207
,כדורי,1999,2
,כורזים,1999,3
,כלנית,1999,2
,כנרת )מושבה(,1999,59
,כפר ביאליק,1999,2
,כפר גדעון,1999,1
,כפר גלעדי,1999,1
,כפר הנשיא,1999,2
,כפר חיטים,1999,2
,כפר חסידים א',1999,2
,כפר חסידים ב',1999,1
,כפר כמא,1999,1
,כפר כנא,1999,38
,כפר מנדא,1999,38
,כפר פינס,1999,2
,כפר קיש,1999,6
,כפר קרע,1999,15
,כפר תבור,1999,164
,כרכום,1999,3
,"כרם מהר""ל",1999,8
,לביא,1999,4
,לבנים,1999,3
,מ. א. הגליל התחתון,1999,3
,מ. א. מרום הגליל,1999,10
,מגאר,1999,51
,מגדים,1999,1
,מגדל,1999,52
,מורשת,1999,1
,מזרע,1999,17
,מטולה,1999,25
,מנחמיה,1999,9
,מסד,1999,3
,מעגן מיכאל,1999,1
,מצפה,1999,13
,מרגליות,1999,2
,מרחביה )קיבוץ(,1999,2
,משהד,1999,121
,נאעורה,1999,1
,נהלל,1999,3
,נופית,1999,35
,ניין,1999,9
,ניר עציון,1999,2
,סולם,1999,13
,עוזייר,1999,3
,עיילבון,1999,25
,עילוט,1999,27
,עין איילה,1999,98
,עין הוד,1999,4
,עין זיתים,1999,10
,עין כרמל,1999,2
,עין מאהל,1999,32
,עמיקם,1999,12
,עספיא,1999,117
,ערערה,1999,36
,עתלית,1999,81
,פוריה - כפר עבודה,1999,1
,פוריה - נווה עובד,1999,16
,פוריה עילית,1999,12
,פוריידיס,1999,76
,ציפורי,1999,5
,צפת,1999,452
,צרופה,1999,5
,קורנית,1999,1
,קיסריה,1999,115
,קציר,1999,33
,קריית שמונה,1999,275
,ראש פינה,1999,50
,רגבים,1999,5
,רומאנה,1999,2
,רומת הייב,1999,3
,ריחאניה,1999,3
,ריינה,1999,225
,רכסים,1999,50
,רמת ישי,1999,112
,שבלי - אום אל-גנם,1999,14
,שדה אליעזר,1999,2
,שדה יעקב,1999,3
,שדות ים,1999,39
,שניר,1999,1
,שער העמקים,1999,1
,שפר,1999,1
,שפרעם,1999,223
,שרונה,1999,12
,שריד,1999,4
,תל עדשים,1999,11
,תל קציר,1999,1
,תמרת,1999,2
,אביחיל,1999,44
,אבן יהודה,1999,164
,אודים,1999,1
,אום אל-קוטוף,1999,2
,אזור,1999,201
,אחיטוב,1999,8
,אחיסמך,1999,1
,איבתאן,1999,2
,אליכין,1999,15
,אלישמע,1999,1
,אלעד,1999,1430
,באקה אל-גרביה,1999,48
,בארותיים,1999,2
,בורגתה,1999,1
,ביר א סכה,1999,3
,בית אלעזרי,1999,15
,בית גמליאל,1999,6
,בית דגן,1999,143
,בית חירות,1999,3
,בית ינאי,1999,14
,בית יצחק-שער חפר,1999,4
,בית נחמיה,1999,3
,בית עוזיאל,1999,3
,בית עזרא,1999,1
,ביתן אהרן,1999,1
,בן זכאי,1999,1
,בן שמן )מושב(,1999,4
,בני דרור,1999,9
,בני ציון,1999,66
,בניה,1999,4
,בנימינה-גבעת עדה,1999,264
,בסמת טבעון,1999,7
,בצרה,1999,21
,בת חפר,1999,8
,ג'לג'וליה,1999,8
,ג'סר א-זרקא,1999,31
,ג'ת,1999,60
,גאולים,1999,8
,גבעת השלושה,1999,1
,"גבעת ח""ן",1999,2
,גבעת שמואל,1999,571
,גדרה,1999,360
,גזר,1999,9
,גינתון,1999,1
,גליל ים,1999,12
,גמזו,1999,1
,גן השומרון,1999,44
,גן חיים,1999,11
,גן שורק,1999,2
,גן שמואל,1999,1
,גני הדר,1999,43
,גני יהודה,1999,8
,גני יוחנן,1999,1
,גני עם,1999,17
,גני תקווה,1999,375
,געש,1999,16
,גת רימון,1999,1
,המעפיל,1999,1
,הרדוף,1999,1
,זיתן,1999,11
,זמר,1999,1
,חבצלת השרון,1999,7
,חגור,1999,2
,חגלה,1999,9
,חופית,1999,6
,חיבת ציון,1999,2
,חירות,1999,3
,חלף,1999,1
,חרב לאת,1999,26
,טייבה,1999,54
,טירה,1999,15
,טירת יהודה,1999,38
,טל שחר,1999,1
,יד חנה,1999,103
,"יד רמב""ם",1999,1
,יהוד,1999,452
,ימא,1999,3
,ינוב,1999,3
,יציץ,1999,1
,יקום,1999,1
,ירחיב,1999,42
,ירקונה,1999,8
,ישרש,1999,3
,כוכב יאיר,1999,15
,כעביה-טבאש-חג'אג'רה,1999,5
,כפר אביב,1999,3
,"כפר אז""ר",1999,3
,כפר בן נון,1999,16
,כפר ברא,1999,32
,כפר המכבי,1999,7
,כפר הס,1999,10
,כפר ויתקין,1999,7
,"כפר חב""ד",1999,2
,כפר טרומן,1999,4
,כפר ידידיה,1999,1
,כפר יונה,1999,288
,כפר יעבץ,1999,2
,כפר מונש,1999,1
,"כפר מל""ל",1999,5
,כפר נטר,1999,6
,כפר קאסם,1999,26
,כפר רות,1999,7
,כפר שמואל,1999,2
,כפר שמריהו,1999,37
,כרמי יוסף,1999,4
,לפיד,1999,20
,מ. א. דרום השרון,1999,1
,מ. א. חבל מודיעין,1999,3
,מ. א. עמק יזרעאל,1999,1
,מאור,1999,5
,מגשימים,1999,1
,מזור,1999,3
,מזכרת בתיה,1999,90
,מייסר,1999,7
,מישר,1999,1
,מכבים-רעות,1999,75
,מכמורת,1999,1
,מצליח,1999,1
,מצר,1999,1
,מרגה,1999,1
,משמר השבעה,1999,1
,משמרת,1999,62
,מתן,1999,17
,נווה אפרים,1999,9
,נווה ימין,1999,5
,נווה ירק,1999,6
,נווה מבטח,1999,1
,נוף איילון,1999,1
,נופך,1999,1
,נורדיה,1999,15
,נחלים,1999,3
,ניצני עוז,1999,1
,ניר אליהו,1999,2
,נירית,1999,10
,נצר סרני,1999,1
,סביון*,1999,54
,עדי,1999,4
,עדנים,1999,7
,עולש,1999,3
,עין החורש,1999,5
,עין ורד,1999,3
,עין שמר,1999,1
,עין שריד,1999,18
,עשרת,1999,2
,פורת,1999,3
,פרדסיה,1999,36
,צופית,1999,6
,צור יגאל,1999,63
,צור משה,1999,66
,צורן,1999,92
,צפריה,1999,2
,קדימה-צורן,1999,177
,קדרון,1999,1
,קלנסווה,1999,47
,קריית עקרון,1999,69
,ראס עלי,1999,1
,רמות השבים,1999,9
,רמות מאיר,1999,4
,רמת אפעל,1999,28
,רשפון,1999,32
,שדה ורבורג,1999,14
,שדי חמד,1999,1
,שוהם,1999,425
,שילת,1999,1
,שעלבים,1999,13
,שער אפרים,1999,101
,שפיים,1999,18
,תל יצחק,1999,35
