settlement_code,settlement,rows
472,אבו גוש,705
,נחלת יהודה,694
97,מרחביה )מושב(,678
1274,גן נר,675
103,תל עדשים,669
,מ. א. מטה יהודה,667
1284,נופית,664
133,גבת,662
787,גבעת יערים,660
490,דייר אל-אסד,659
1327,מעלה עירון,650
456,שורש,645
395,משמר הנגב,642
,מ. א. משגב,641
1161,רהט,640
538,שעב,638
274,כפר מנחם,632
370,גזר,630
284,שדה ורבורג,626
155,באר טוביה,619
2038,ברקת,618
1295,יאנוח-ג'ת,618
505,כאוכב אבו אל-היג'א,614
43,מטולה,613
23,אמציה,610
232,שפיים,604
,משגב,599
63,כנרת )מושבה(,587
1337,שמשית,576
1296,כסרא-סמיע,574
1071,נווה מיכאל,568
206,רמות השבים,567
,נווה אפרים,566
389,בצרה,556
351,ניצן,556
432,שמרת,555
375,מגל,554
242,בית השיטה,542
627,ג'לג'וליה,541
386,בני דרור,530
326,בית יצחק-שער חפר,530
1050,בית חשמונאי,528
1243,קציר,527
944,בסמת טבעון,522
662,חוסן,521
29,יסוד המעלה,518
363,חפץ חיים,517
335,רמת השופט,516
1103,גני הדר,514
1315,מתן,506
434,החותרים,495
344,מענית,495
1128,מי עמי,491
523,ניין,488
278,אושה,487
285,אלונים,487
,מכר,485
287,תל יצחק,483
,"כפר אז""ר",482
269,מולדת,480
577,יד בנימין,479
390,רגבה,476
,מועאוויה,471
693,"נתיב הל""ה",471
94,בלפוריה,469
2033,בית חלקיה,468
362,רוחמה,464
1199,עדי,461
2043,בחן,457
1108,אומן,454
1056,"עין כרם-בי""ס חקלאי",454
418,בני ציון,452
2055,מאור,451
447,נורדיה,449
159,בית חנן,447
440,יסודות,446
1293,גבעת אבני,445
1310,לפיד,444
315,נגבה,441
49,אילניה,436
62,דגניה א',434
1290,זמר,431
675,הבונים,426
885,שדה בוקר,424
563,משמר דוד,421
962,טובא-זנגריה,418
1105,פוריה - נווה עובד,411
613,ציפורי,410
237,שער העמקים,408
254,כפר המכבי,407
880,עין שריד,407
340,גת )קיבוץ(,405
825,נס הרים,405
21,באר אורה,402
422,חרב לאת,396
429,אלוני אבא,396
1110,חבר,390
144,גן שלמה,387
,גת בגליל,385
635,מוקייבלה,385
282,שבי ציון,384
1204,גילון,384
139,עין שמר,383
2035,עדנים,383
4005,חספין,383
,מ. א. תמר,381
,מ. א. הגליל העליון,380
325,מצובה,379
33,בת שלמה,376
400,אבן שמואל,376
405,נווה אילן,375
444,רגבים,375
1198,כרמים,375
393,גלאון,374
309,נהורה,374
579,כפר ראש הנקרה,373
239,גן חיים,367
48,מנחמיה,364
677,הסוללים,359
259,שדה נחום,358
1114,שריגים )לי-און(,356
,יאנוח,356
2018,גבעת חיים )איחוד(,356
95,בית אלפא,355
564,רבדים,353
199,אשדות יעקב )איחוד(,350
576,כברי,348
90,חפצי-בה,347
1188,אשחר,347
736,גילת,346
443,כפר הנשיא,345
718,ירחיב,344
235,חבצלת השרון,343
687,עין איילה,341
692,שפיר,340
,דבירה,338
294,אילון,334
78,קריית ענבים,334
425,משמרת,331
126,שריד,330
16,בית ניר,329
115,חופית,329
270,עין השופט,327
198,צופית,327
445,רמות מנשה,326
1160,שכניה,326
104,מזרע,326
436,עין דור,326
524,נאעורה,325
617,ברקאי,324
,גדיידה,323
913,שבלי - אום אל-גנם,322
1245,סלמה,320
208,מוצא עילית,319
1244,תמרת,314
763,שתולים,312
707,כפר דניאל,310
374,חוקוק,308
1257,חנתון,307
771,מבוא ביתר,307
508,כפר כמא,305
,בת חצור,303
575,יסעור,302
586,מגידו,302
,זלפה,301
1288,גבעת אלה,301
85,כפר יחזקאל,300
1207,לבון,300
92,גיניגר,299
225,גן השומרון,299
407,דברת,298
1264,כרמי יוסף,298
744,תלמי יפה,295
356,הגושרים,295
1344,גבעות בר,293
409,יחיעם,292
293,שדה יואב,290
437,רשפים,288
297,כפר מסריק,287
157,עין ורד,287
1326,"בסמ""ה",287
134,יפעת,287
607,מירון,285
978,כעביה-טבאש-חג'אג'רה,284
253,חולתה,284
77,איילת השחר,283
696,"כפר חב""ד",282
526,סולם,281
262,גינוסר,280
256,ניר דוד )תל עמל(,278
1258,מסד,278
280,חניתה,277
562,בית אלעזרי,275
,*קדימה-צורן*,275
806,עין יהב,274
701,ארבל,274
66,מרחביה )קיבוץ(,273
517,מזרעה,273
572,בית העמק,271
18,שדה משה,271
591,עשרת,271
423,העוגן,271
213,משמרות,270
416,מעין ברוך,270
305,גשר,268
652,אבטין,268
1069,רם-און,267
160,חולדה,267
457,גזית,265
723,בית הגדי,263
1171,לוטם,262
175,אביחיל,261
1080,מבועים,261
573,מבקיעים,261
1178,מורשת,260
1181,טל-אל,260
428,ברור חיל,259
1176,ספיר,259
380,להבות הבשן,258
316,כפר נטר,258
24,לכיש,257
842,געש,253
726,הודיה,253
414,קלחים,252
388,כפר קיש,252
663,טירת יהודה,251
1336,אירוס,250
140,כפר יהושע,250
1186,הושעיה,250
683,גבע כרמל,250
234,ביצרון,247
861,שדה אליעזר,246
52,לוזית,245
599,פרוד,245
1145,אלומה,244
856,שעלבים,244
357,כפר בלום,244
1275,אבטליון,241
1070,אביעזר,240
748,מסלול,239
394,שובל,238
302,דפנה,237
,בית עמרא,237
163,תימורים,235
170,כפר יעבץ,234
268,טירת צבי,234
385,עמיעד,233
1152,אשלים,232
809,נחם,232
4015,בני יהודה,232
187,כפר הס,231
249,כפר סירקין,231
824,כוכב מיכאל,230
595,לוחמי הגיטאות,230
329,שדה נחמיה,229
377,המעפיל,229
768,כרמיה,228
813,עין יעקב,225
430,בית לחם הגלילית,225
1104,פוריה - כפר עבודה,224
1047,חזון,224
1221,צורית,223
1226,יובלים,223
917,עצמון שגב,222
57,כנרת )קבוצה(,221
233,כפר ידידיה,221
801,חמד,219
689,מגדים,219
740,אשתאול,218
615,קדרון,217
190,כפר ויתקין,217
292,שרונה,217
593,ערוגות,217
,גני יהודה,216
408,נאות מרדכי,216
442,גדעונה,216
747,בית שקמה,215
732,משמר הירדן,215
597,פלמחים,215
320,כפר ורבורג,214
678,מעגן,214
255,כפר חיטים,211
1235,שורשים,211
592,בני דרום,211
919,גבעת ישעיהו,210
1054,תל שבע,209
1252,כורזים,209
219,חיבת ציון,208
4026,חד-נס,208
690,כפר אחים,208
622,עין צורים,207
788,זיתן,207
870,גבעת השלושה,207
1182,אלון הגליל,207
295,כפר רופין,207
719,תל קציר,205
2030,מנוחה,205
71,אשבול,204
1123,אדרת,204
308,מחניים,204
888,"כפר הרי""ף",204
1201,כמון,203
330,אלומות,202
44,זוהר,202
205,חגלה,202
319,עמיר,202
218,גני עם,201
,מושיירפה,201
367,עין העמק,201
303,דן,201
1057,נווה זוהר,200
217,"כפר הרא""ה",200
396,נבטים,200
,מוצא תחתית,199
672,בית נקופה,199
749,פטיש,199
80,נהלל,199
67,אור הנר,199
706,גיאה,198
98,"כפר מל""ל",197
79,דגניה ב',197
967,אבו ג'ווייעד )שבט(,197
382,מכמורת,197
1256,אשרת,196
673,כפר טרומן,195
174,נטעים,195
59,נחושה,194
769,ניר עציון,193
1172,תובל,192
546,עין אל-אסד,191
177,"כפר ביל""ו",191
1112,יודפת,190
729,משמר השבעה,190
1228,רקפת,190
64,"יד רמב""ם",189
135,רמת דוד,189
1241,דקל,189
679,אביאל,189
528,עוזייר,188
727,תלמי יחיאל,186
817,עזריקם,185
7,שחר,185
312,נווה ים,185
3780,ביתר עילית,184
354,רביבים,184
684,היוגב,184
2023,להב,183
2060,ברוש,183
772,אמונים,183
815,זבדיאל,183
838,פדיה,182
272,מעוז חיים,182
777,נחשון,182
1165,שילת,182
648,מצר,181
594,צפריה,181
,כפר סמיע,181
2010,כפר בן נון,181
1240,עין הבשור,180
1331,כמאנה,180
220,כפר ביאליק,180
365,בית קשת,179
2064,זרועה,179
,כיסרא,179
342,גברעם,179
176,אפיקים,178
773,עמיקם,177
76,כפר גלעדי,177
800,בית חנניה,177
36,שדה דוד,177
,מ. א. גן רוה,175
2003,תלמי אלעזר,175
1024,חרוצים,174
1330,אחוזת ברק,173
734,גן יאשיה,173
331,ניר צבי,173
1203,הררית,173
1272,חלוץ,173
,עין איברהים,173
686,נווה ימין,172
521,עין נקובא,172
2046,סגולה,172
580,"כרם מהר""ל",172
2039,קרית יערים)מוסד(,171
,איבתאן,170
2048,ניר עקיבא,169
387,כפר מונש,168
649,מייסר,168
453,יפתח,167
1249,הרדוף,167
194,משמר השרון,166
1183,כליל,166
1132,שניר,166
596,מלכיה,165
850,אחיטוב,165
715,להבות חביבה,165
1068,אדמית,164
2002,תנובות,164
699,ניר ישראל,164
,ימא,164
864,בקוע,163
,מרגה,162
162,חירות,162
1368,בני דקלים,162
742,מסילת ציון,162
1155,מגן שאול,162
339,רמת צבי,162
188,אשדות יעקב )מאוחד(,162
588,בני ראם,161
1192,ערערה-בנגב,161
852,גונן,161
2061,תדהר,161
590,נווה אור,160
1064,אמירים,160
1211,קדרים,160
132,כפר ברוך,159
820,חלץ,159
865,שיבולים,159
2045,נחלה,159
,מ. א. חבל יבנה,158
,מ. א. הגליל התחתון,158
795,יערה,158
1206,גיתה,157
730,אליפלט,157
785,אחיהוד,156
300,דליה,156
1253,אמנון,156
398,שרשרת,156
1179,קורנית,155
710,בית זית,154
1202,מכמנים,154
343,חמדיה,154
1222,"מצפה אבי""ב",153
433,נחשולים,153
775,יד נתן,153
2049,שדה צבי,153
700,חצב,151
589,בצת,150
230,מעש,150
585,לביא,150
252,ביתן אהרן,150
13,חצבה,149
,מ. א. מרום הגליל,149
606,מזור,148
263,מסדה,148
439,שלוחות,147
682,אליקים,147
539,רומאנה,147
383,"עין הנצי""ב",147
808,ניר אליהו,146
298,מסילות,146
818,זרחיה,146
783,אבן ספיר,146
2012,אורות,146
82,עין חרוד )מאוחד(,145
674,לימן,145
2015,שדי חמד,145
837,עזריאל,144
2013,בן שמן )מושב(,144
858,נווה ירק,144
200,בית ינאי,143
1303,חורה,143
1236,נירית,143
2014,גבעולים,143
793,גבעתי,141
737,עולש,141
288,בית יהושע,140
11,"ניר ח""ן",140
851,ניצני עוז,140
310,כפר גליקסון,139
,מ. א. בקעת בית שאן,139
446,אודים,138
143,בית זרע,138
819,אביגדור,138
307,הזורעים,138
780,אורה,137
619,בית גוברין,137
141,ברק,136
,מחנה גבעת חנניה,136
460,רמת רזיאל,135
802,"גבעת כ""ח",135
1314,נווה זיו,134
286,מעלה החמישה,134
1138,יעד,133
697,בארותיים,133
1095,כפר מימון,133
540,ריחאניה,133
1230,לבנים,133
722,מגשימים,133
1233,שקף,133
368,ביריה,132
751,בית מאיר,132
1210,כחל,131
142,שדה יעקב,131
,רמת חובב,130
658,שייח' דנון,130
680,אומץ,129
604,בית עריף,129
767,פורת,128
602,נירים,128
1232,יבול,128
766,קוממיות,128
336,דורות,128
605,כפר שמאי,128
1214,טפחות,127
1143,נס עמים,127
828,ישרש,127
1174,מנוף,127
1323,בת הדר,127
74,עין הוד,126
306,שדמות דבורה,126
845,כפר עזה,125
39,גפן,125
58,מצפה,124
791,משען,124
721,שדה אילן,124
2011,ינון,124
553,ניר בנים,124
345,כפר סאלד,124
2050,"תלמי ביל""ו",123
735,רמות מאיר,122
750,פדויים,122
705,נחשונים,122
165,ניר יפה,121
717,חגור,121
765,משגב דב,121
2057,שדי תרומות,121
4702,רמות,120
248,בית שערים,120
4021,גבעת יואב,120
833,נורית,119
421,משאבי שדה,119
4010,אודם,118
1376,באר גנים,117
703,גבעת עוז,116
304,שדה אליהו,116
816,זנוח,116
756,בית עזרא,116
189,כפר פינס,115
862,גני יוחנן,115
610,סתריה,115
1177,טללים,115
1158,יהל,114
853,גאליה,114
786,כפר זיתים,113
,עארה,113
348,ניר עם,113
598,בית קמה,113
4022,גשור,113
475,דחי,112
360,"גבעת ניל""י",112
685,בניה,112
836,גנות,112
4012,אניעם,112
877,בית חירות,112
,בית דג'ן)שכם(,112
1366,נוה,112
4701,רמת מגשימים,111
448,בני עטרות,110
821,אחוזם,110
1262,צוקים,110
1141,מבוא מודיעים,110
698,בורגתה,110
55,נוגה,109
1127,מעלה גלבוע,109
574,גשר הזיו,109
1333,נוף איילון,109
584,זיקים,108
1297,כפר חנניה,107
571,בית גמליאל,107
986,ח'ואלד )שבט(,106
612,צרופה,106
379,גאולים,106
636,צנדלה,106
713,רעים,105
714,ארז,105
4551,נאות גולן,105
959,אפיניש )שבט(,104
301,בית עוזיאל,104
1340,מרחב עם,103
497,טייבה )בעמק(,103
202,בית עובד,103
810,עופר,103
452,יזרעאל,103
296,נווה איתן,103
1136,צוחר,103
196,גיבתון,102
814,תלמים,102
779,עמינדב,102
4304,נוב,101
799,זכריה,101
759,יציץ,101
1260,רתמים,101
840,כיסופים,100
1163,מורן,100
,ביר א סכה,100
739,שדה עוזיהו,100
,שער הנגב,100
789,רנן,100
2008,שדה יצחק,99
311,גן שורק,99
618,חדיד,99
1205,מנות,97
1162,בית רימון,97
743,כפר שמואל,97
145,גדיש,97
2029,מדרך עוז,97
1072,גן הדרום,96
712,בן עמי,96
1149,עזר,95
2009,יובל,95
1191,בר יוחאי,95
290,מעין צבי,94
1082,מעגלים,94
4028,כנף,94
764,כפר מרדכי,94
204,אלישיב,93
167,עין החורש,93
431,דלתון,93
191,הדר עם,93
711,עזריה,93
2062,תאשור,93
844,נחל עוז,93
1190,מצפה נטופה,93
745,גמזו,92
4003,אל-רום,92
857,כפר אביב,92
702,האון,91
352,גבולות,91
1140,מדרשת בן גוריון,91
731,מישר,91
4004,כפר חרוב,89
,מ. א. באר טוביה,89
1117,יעל,89
871,עינת,89
1283,תל תאומים,88
112,כפר חסידים א',88
462,טל שחר,87
2016,רוויה,87
792,נתיב השיירה,87
846,שפר,87
417,יקום,86
841,אלישמע,86
741,שואבה,85
797,אחיעזר,85
784,בית נחמיה,85
,מ. א. ברנר,85
839,פתחיה,84
146,דבורה,83
997,רומת הייב,82
4204,מבוא חמה,82
822,מטע,82
1125,אלמגור,81
378,משגב עם,81
4101,מרום גולן,80
1180,צביה,80
,מ. א. עמק לוד,80
2051,רווחה,80
1185,פלך,79
2059,"פעמי תש""ז",79
1065,זמרת,79
567,צרעה,79
106,כפר גדעון,78
2044,מלילות,78
,מ. א. חוף אשקלון,78
570,מעונה,78
,מ. א. מטה אשר,78
317,בית אורן,78
,סואעד )חמרייה(,77
762,בטחה,77
2042,עין גדי,77
708,עמקה,77
916,ישע,77
1229,כלנית,77
4014,נטור,76
1208,הילה,75
823,בר גיורא,75
1209,חרשים,74
4503,עין זיוון,74
555,שדמה,74
32,עוצם,74
863,גינתון,74
738,דור,74
1231,פרי גן,73
796,צלפון,73
37,איתן,73
454,סער,73
2026,ירדנה,72
4024,קלע,72
1058,שדה ניצן,71
807,חניאל,71
716,אייל,71
1133,ורדון,71
265,בית יוסף,70
968,אבו קורינאת )שבט(,70
582,כפר הנגיד,70
1259,נווה שלום,70
1261,הר עמשא,70
,חלף,70
1083,תושיה,69
805,ישעי,69
512,כפר מצר,69
,"עמק יזרעאל מ""א 31",69
993,חמאם,68
1311,אבשלום,68
1213,צבעון,68
1227,יתד,67
803,יושיביה,66
1282,מירב,66
746,ברכיה,66
1151,פארן,65
670,משמר איילון,65
1324,ארסוף,65
,טבעון,65
10,תירוש,64
,מ. א. גזר,64
324,שאר ישוב,64
463,געתון,63
854,רחוב,62
4025,קדמת צבי,62
372,רמות נפתלי,62
1220,אבירים,62
994,מנשית זבדה,61
2024,אום אל-קוטוף,61
84,תל יוסף,61
4009,שעל,60
665,תקומה,60
,מ. א. מגידו,60
2052,אביטל,59
1374,כרמי קטיף,59
173,גבעת חיים )מאוחד(,59
4301,אפיק,58
,חג'אג'רה*,58
364,כפר אוריה,58
990,ראס עלי,58
2047,ניר משה,58
609,כפר חושן,57
623,יראון,57
1219,גורנות הגליל,57
347,מנרה,56
798,יגל,56
1046,אוהד,56
873,שלווה,56
1363,בני נצרים,55
,"דרום השרון מ""א 02",55
761,שובה,55
193,כפר חיים,54
164,מלאה,54
1081,אבן מנחם,54
,ביאדה,54
35,גדות,53
549,גנות הדר,52
,עין זיתים,52
424,גבים,52
1238,סופה,52
,ברטעה,51
1153,כישור,51
1154,מיטל,50
1166,כפר רות,50
4303,"נווה אטי""ב",50
827,נווה מבטח,50
86,גבע,50
1255,לוטן,49
614,שומרה,48
4006,קשת,48
843,מרגליות,48
1077,גבעת שפירא,48
514,עין ראפה,47
1285,כרכום,46
1060,לקיה,45
4011,אבני איתן,45
4019,מיצר,45
,מ. א. עמק יזרעאל,45
1280,ניצני סיני,44
1147,נטועה,44
1364,שלומית,44
4008,מעלה גמלא,44
616,רינתיה,43
419,סעד,43
1150,צופר,43
128,גת רימון,42
2054,מיטב,42
1343,מכחול,42
1246,עראמשה,41
1175,עידן,41
1251,עין תמר,40
113,אדירים,40
2063,דישון,40
223,עין עירון,40
,רמת טראמפ,40
4017,אלוני הבשן,40
,*צוקים*,40
,זובידאת )שבט(,39
1248,אליפז,39
,עכברה,39
,תלמי מנשה,39
,מ. א. יואב,38
273,עין גב,38
,כפר גבירול,38
688,עלמה,38
1067,"דוב""ב",37
,מ. א. עמק הירדן,36
1173,לפידות,36
,"עמק חפר מזרח מ""א 61",36
892,עבדון,35
4002,אלי-עד,35
207,"גבעת ח""ן",35
281,פקיעין חדשה,35
794,עגור,34
2053,פרזון,34
1156,סמר,34
1124,נאות הכיכר,33
1287,שני,33
1079,צפרירים,33
778,תרום,33
527,שזור,33
,ניסנית,33
322,בית הלל,33
1223,שדי אברהם,32
,מ. א. רמת נגב,32
1317,דמיידה,31
1045,שתולה,31
1371,גני טל,31
183,ירקונה,31
464,הראל,31
,סאלם,31
4007,יונתן,30
,מוצמוץ,30
,*עראבה*,30
547,טמרה )יזרעאל(,30
,מ. א. חוף השרון,30
1242,נתיב העשרה,30
366,שמיר,30
2006,כנות,30
826,עוזה,30
27,שדות מיכה,29
664,כרם בן זמרה,29
859,כסלון,29
406,חצור-אשדוד,29
1157,אחווה,28
355,חורשים,28
3400,חברון,27
889,כפר חסידים ב',27
755,גורן,27
1085,כרם שלום,26
1254,נטף,26
1126,אילות,26
,"גליל תחתון מז מ""א 2",25
1115,אביבים,25
72,גן שמואל,25
829,מבטחים,24
1184,מתת,24
1195,ניצנה )קהילת חינוך(,24
676,עין השלושה,24
1051,תלמי אליהו,24
,מ. א. חבל מודיעין,24
774,צוריאל,24
127,רמת רחל,24
,כפר אל עוברה,23
1369,נטע,23
866,יטבתה,23
257,נופך,23
,אום אל-גנם,22
1130,כפר רוזנואלד )זרעית(,22
,"עמק יזרעאל מ""א 9",21
,מבחור,21
1348,ביר הדאג',21
3797,מודיעין עילית,20
,מ.א. נווה מדבר,20
,מ. א. נחל שורק,20
1059,כסיפה,19
,ליבנה,19
,מ. א. שפיר,19
3730,גבעת זאב,19
156,עיינות,18
415,שוקדה,18
1102,צוקי ים,18
1278,באר מילכה,18
224,שושנת העמקים,17
371,כדורי,17
358,יד מרדכי,17
,מ.א. חוף הכרמל,17
1043,גיזו,17
1349,דריג'את,17
776,מחסיה,16
,מ. א. מנשה,16
,מ. א. בני שמעון,16
,תעשיון גליל תחתון,16
,צמח,16
,"עמק יזרעאל מ""א 8",16
96,יגור,16
603,אלקוש,15
,מ. א. לכיש,15
1359,אל סייד,15
,"גליל עליון מז מ""א 1",15
3656,כרמל,14
1294,אור הגנוז,14
,יזרעם,14
,"דרום השרון מ""א 81",14
,סדום,14
752,תעוז,14
,טבאש,14
,עין בוקק,14
,באקה-ג'ת**,13
,"בקעת נטופה מ""א 65",13
,מ. א. חבל אילות,13
4201,מג'דל שמס,13
373,בית הלוי,13
465,צובה,13
1044,יעף,12
1291,כמהין,12
1361,בת חן,12
811,יכיני,12
1365,אליאב,12
,מ. א. שדות הנגב,12
184,רמת הכובש,12
3750,אלפי מנשה,11
3616,מעלה אדומים,11
970,תראבין א-צאנע )שבט(,11
403,אורים,11
,יחד,11
3722,אשכולות,11
,ג'דידה,11
178,רמת יוחנן,11
250,הזורע,11
450,בארות יצחק,10
1358,אום בטין,10
,מ. א. מעלה יוסף,10
,מ. א. מרחבים,10
,מסמיה,10
264,שער הגולן,9
4203,מסעדה,9
1362,גבעות עדן,9
,קריות,9
1332,חוסנייה,9
,עין חמד,9
1342,אבו קרינאת )יישוב(,9
,אליעד,9
694,מעגן מיכאל,9
1372,נצר חזני,9
872,גאולי תימן,8
,*מגדל תפן*,8
,מ. א. דרום השרון,8
,מ. א. זבולון,8
,מ. א. גולן,8
,מ. א. שער הנגב,8
3568,ריחן,8
,ברורים,7
,מ. א. אשכול,7
4502,עין קנייא,7
,פארק תעשיות חבל מודיעים,7
1321,ח'ואלד,7
709,תפרח,7
3769,הר אדר,7
620,משואות יצחק,7
,ים המלח - בתי מלון,7
1377,שבי דרום,6
,פארק תעשיות עמק חפר,6
1197,נאות סמדר,6
3608,מעלה אפרים,6
3603,הר גילה,6
1320,עין חוד,6
1265,שומריה,6
102,מאיר שפיה,6
88,כרם בן שמן,5
,עד הלום,5
1134,יד השמונה,5
334,קבוצת יבנה,5
1237,תלמי יוסף,5
376,עברון,5
3639,ורד יריחו,5
1279,נווה חריף,5
,זיתא,5
,מ. מ. רמת חובב,5
89,עין חרוד )איחוד(,4
,ביכורה,4
3565,רימונים,4
1334,ראס אל-עין,4
,כפר אהרון,4
3570,אריאל,4
1076,בית ברל,4
695,מגן,4
,כפר עקב,4
3650,אפרת,4
3759,אדורה,4
3660,עמנואל,4
,יתיר,4
,תעשיון ראם*,4
4013,אורטל,4
318,עמיעוז,4
15,נועם,4
875,כפר עבודה,4
,אבו דיס,4
668,מפלסים,4
1378,שיזף,4
1375,אבו תלול,4
,מ. א. הערבה התיכונה,3
,עין קיניא,3
,הדסים,3
413,צאלים,3
397,חצרים,3
3782,רותם,3
3777,סנסנה,3
,"אזור כינרות מ""א 3",3
3574,בית אל,3
1346,תראבין א-צאנע)ישוב(,3
935,אבו סריחאן )שבט(,3
,מ. א. עמק חפר,3
,קרית חרושת,3
107,כפר סילבר,3
369,גלעד )אבן יצחק(,3
,תל אל-בידא,3
4001,בוקעאתא,3
1052,קטורה,3
,תענך,3
,מ. א. הגלבוע,3
3558,תומר,3
,"גליל תחתון מז מ""א 6",2
3727,עלי זהב,2
,*קלע*,2
1266,שחרות,2
,"אזור באר שבע מ""א 14",2
3604,אלון שבות,2
,"הערבה מ""א 15",2
,"אזור פתח תקוה של""ש",2
,פארק תעשיות רמת דלתון,2
3719,תלם,2
3763,גבע בנימין,2
3765,עלי,2
1196,מחנה יתיר,2
3770,חשמונאים,2
,שגור**,2
,"אזור זכרון יעקב מ""א 51",2
399,בארי,2
,"עמק בית שאן מ""א 7",2
,פארק תעשיות עידן הנג,2
578,סאסא,2
,נגידאת,2
22,מקווה ישראל,2
,מוסמוס,2
,נחל צלמון,2
,"גליל תחתון מז של""ש",2
,אזור תעסוקה משגב,2
,כפר נחום,2
921,שער מנשה,2
,ג'אבליה /נזלה,2
,תל,2
3768,פדואל,2
