settlement_code,settlement,extra_rows
,ניר צבי,173
,הררית,173
,חלוץ,173
,גן יאשיה,173
,אחוזת ברק,173
,עין נקובא,172
,נווה ימין,172
,"כרם מהר""ל",172
,סגולה,172
,קרית יערים)מוסד(,171
,ניר עקיבא,169
,מייסר,168
,כפר מונש,168
,הרדוף,167
,יפתח,167
,כליל,166
,שניר,166
,משמר השרון,166
,מלכיה,165
,להבות חביבה,165
,אחיטוב,165
,ניר ישראל,164
,תנובות,164
,אדמית,164
,בקוע,163
,מסילת ציון,162
,מגן שאול,162
,בני דקלים,162
,רמת צבי,162
,חירות,162
,אשדות יעקב )מאוחד(,162
,ערערה-בנגב,161
,גונן,161
,תדהר,161
,בני ראם,161
,קדרים,160
,נווה אור,160
,אמירים,160
,כפר ברוך,159
,נחלה,159
,חלץ,159
,שיבולים,159
,יערה,158
,גיתה,157
,אליפלט,157
,שרשרת,156
,אחיהוד,156
,אמנון,156
,דליה,156
,קורנית,155
,בית זית,154
,חמדיה,154
,מכמנים,154
,יד נתן,153
,שדה צבי,153
,נחשולים,153
,"מצפה אבי""ב",153
,חצב,151
,בצת,150
,לביא,150
,ביתן אהרן,150
,מעש,150
,חצבה,149
,מזור,148
,מסדה,148
,אליקים,147
,רומאנה,147
,שלוחות,147
,"עין הנצי""ב",147
,זרחיה,146
,ניר אליהו,146
,אורות,146
,מסילות,146
,אבן ספיר,146
,לימן,145
,עין חרוד )מאוחד(,145
,שדי חמד,145
,נווה ירק,144
,בן שמן )מושב(,144
,עזריאל,144
,חורה,143
,גבעולים,143
,בית ינאי,143
,נירית,143
,עולש,141
,גבעתי,141
,בית יהושע,140
,"ניר ח""ן",140
,ניצני עוז,140
,כפר גליקסון,139
,הזורעים,138
,אביגדור,138
,אודים,138
,בית זרע,138
,בית גוברין,137
,אורה,137
,ברק,136
,"גבעת כ""ח",135
,רמת רזיאל,135
,מעלה החמישה,134
,נווה זיו,134
,מגשימים,133
,כפר מימון,133
,ריחאניה,133
,לבנים,133
,שקף,133
,יעד,133
,בארותיים,133
,בית מאיר,132
,ביריה,132
,שדה יעקב,131
,כחל,131
,שייח' דנון,130
,בית עריף,129
,אומץ,129
,קוממיות,128
,כפר שמאי,128
,פורת,128
,יבול,128
,נירים,128
,דורות,128
,נס עמים,127
,טפחות,127
,מנוף,127
,בת הדר,127
,ישרש,127
,שדמות דבורה,126
,עין הוד,126
,כפר עזה,125
,גפן,125
,כפר סאלד,124
,ינון,124
,שדה אילן,124
,ניר בנים,124
,משען,124
,מצפה,124
,"תלמי ביל""ו",123
,פדויים,122
,נחשונים,122
,רמות מאיר,122
,שדי תרומות,121
,חגור,121
,ניר יפה,121
,משגב דב,121
,בית שערים,120
,רמות,120
,גבעת יואב,120
,משאבי שדה,119
,נורית,119
,אודם,118
,באר גנים,117
,שדה אליהו,116
,גבעת עוז,116
,בית עזרא,116
,זנוח,116
,גני יוחנן,115
,טללים,115
,סתריה,115
,כפר פינס,115
,יהל,114
,גאליה,114
,ניר עם,113
,בית קמה,113
,גשור,113
,כפר זיתים,113
,בית חירות,112
,"גבעת ניל""י",112
,נוה,112
,דחי,112
,גנות,112
,אניעם,112
,בניה,112
,רמת מגשימים,111
,בורגתה,110
,בני עטרות,110
,צוקים,110
,מבוא מודיעים,110
,אחוזם,110
,נוגה,109
,גשר הזיו,109
,מעלה גלבוע,109
,נוף איילון,109
,זיקים,108
,כפר חנניה,107
,בית גמליאל,107
,גאולים,106
,ח'ואלד )שבט(,106
,צרופה,106
,צנדלה,106
,נאות גולן,105
,רעים,105
,ארז,105
,אפיניש )שבט(,104
,בית עוזיאל,104
,צוחר,103
,יזרעאל,103
,טייבה )בעמק(,103
,מרחב עם,103
,נווה איתן,103
,עופר,103
,בית עובד,103
,תלמים,102
,עמינדב,102
,גיבתון,102
,נוב,101
,יציץ,101
,זכריה,101
,רתמים,101
,רנן,100
,מורן,100
,כיסופים,100
,שדה עוזיהו,100
,גן שורק,99
,שדה יצחק,99
,חדיד,99
,כפר שמואל,97
,בית רימון,97
,מנות,97
,גדיש,97
,מדרך עוז,97
,בן עמי,96
,גן הדרום,96
,בר יוחאי,95
,יובל,95
,עזר,95
,מעגלים,94
,כנף,94
,מעין צבי,94
,כפר מרדכי,94
,נחל עוז,93
,אלישיב,93
,דלתון,93
,תאשור,93
,מצפה נטופה,93
,עין החורש,93
,עזריה,93
,הדר עם,93
,כפר אביב,92
,אל-רום,92
,גמזו,92
,האון,91
,גבולות,91
,מדרשת בן גוריון,91
,מישר,91
,יעל,89
,עינת,89
,כפר חרוב,89
,תל תאומים,88
,כפר חסידים א',88
,נתיב השיירה,87
,טל שחר,87
,רוויה,87
,שפר,87
,אלישמע,86
,יקום,86
,אחיעזר,85
,שואבה,85
,בית נחמיה,85
,פתחיה,84
,דבורה,83
,רומת הייב,82
,מבוא חמה,82
,מטע,82
,אלמגור,81
,משגב עם,81
,רווחה,80
,צביה,80
,מרום גולן,80
,"פעמי תש""ז",79
,פלך,79
,צרעה,79
,זמרת,79
,מעונה,78
,בית אורן,78
,מלילות,78
,כפר גדעון,78
,בטחה,77
,עין גדי,77
,עמקה,77
,כלנית,77
,ישע,77
,נטור,76
,הילה,75
,בר גיורא,75
,גינתון,74
,חרשים,74
,שדמה,74
,עין זיוון,74
,עוצם,74
,דור,74
,פרי גן,73
,איתן,73
,צלפון,73
,סער,73
,קלע,72
,ירדנה,72
,חניאל,71
,ורדון,71
,אייל,71
,שדה ניצן,71
,הר עמשא,70
,אבו קורינאת )שבט(,70
,כפר הנגיד,70
,בית יוסף,70
,נווה שלום,70
,תושיה,69
,כפר מצר,69
,ישעי,69
,אבשלום,68
,חמאם,68
,צבעון,68
,יתד,67
,ברכיה,66
,יושיביה,66
,מירב,66
,פארן,65
,משמר איילון,65
,ארסוף,65
,שאר ישוב,64
,תירוש,64
,געתון,63
,אבירים,62
,רחוב,62
,רמות נפתלי,62
,קדמת צבי,62
,מנשית זבדה,61
,אום אל-קוטוף,61
,תל יוסף,61
,שעל,60
,תקומה,60
,אביטל,59
,כרמי קטיף,59
,גבעת חיים )מאוחד(,59
,ניר משה,58
,ראס עלי,58
,אפיק,58
,כפר אוריה,58
,גורנות הגליל,57
,כפר חושן,57
,יראון,57
,שלווה,56
,אוהד,56
,מנרה,56
,יגל,56
,בני נצרים,55
,שובה,55
,אבן מנחם,54
,כפר חיים,54
,מלאה,54
,גדות,53
,גנות הדר,52
,סופה,52
,גבים,52
,כישור,51
,נווה מבטח,50
,"נווה אטי""ב",50
,מיטל,50
,כפר רות,50
,גבע,50
,לוטן,49
,גבעת שפירא,48
,קשת,48
,שומרה,48
,מרגליות,48
,עין ראפה,47
,כרכום,46
,לקיה,45
,אבני איתן,45
,מיצר,45
,נטועה,44
,מעלה גמלא,44
,ניצני סיני,44
,שלומית,44
,סעד,43
,צופר,43
,רינתיה,43
,מכחול,42
,מיטב,42
,גת רימון,42
,עראמשה,41
,עידן,41
,דישון,40
,אדירים,40
,אלוני הבשן,40
,עין תמר,40
,עין עירון,40
,אליפז,39
,עין גב,38
,עלמה,38
,"דוב""ב",37
,לפידות,36
,אלי-עד,35
,עבדון,35
,פקיעין חדשה,35
,"גבעת ח""ן",35
,עגור,34
,פרזון,34
,סמר,34
,תרום,33
,שזור,33
,בית הלל,33
,צפרירים,33
,שני,33
,נאות הכיכר,33
,שדי אברהם,32
,ירקונה,31
,דמיידה,31
,שתולה,31
,הראל,31
,גני טל,31
,נתיב העשרה,30
,טמרה )יזרעאל(,30
,שמיר,30
,כנות,30
,עוזה,30
,יונתן,30
,כסלון,29
,כרם בן זמרה,29
,חצור-אשדוד,29
,שדות מיכה,29
,אחווה,28
,חורשים,28
,כפר חסידים ב',27
,גורן,27
,חברון,27
,נטף,26
,אילות,26
,כרם שלום,26
,אביבים,25
,גן שמואל,25
,רמת רחל,24
,צוריאל,24
,ניצנה )קהילת חינוך(,24
,תלמי אליהו,24
,מבטחים,24
,מתת,24
,עין השלושה,24
,יטבתה,23
,נטע,23
,נופך,23
,כפר רוזנואלד )זרעית(,22
,ביר הדאג',21
,מודיעין עילית,20
,גבעת זאב,19
,כסיפה,19
,צוקי ים,18
,באר מילכה,18
,עיינות,18
,שוקדה,18
,שושנת העמקים,17
,יד מרדכי,17
,כדורי,17
,דריג'את,17
,גיזו,17
,יגור,16
,מחסיה,16
,אלקוש,15
,אל סייד,15
,תעוז,14
,אור הגנוז,14
,כרמל,14
,מג'דל שמס,13
,צובה,13
,בית הלוי,13
,יעף,12
,בת חן,12
,יכיני,12
,כמהין,12
,רמת הכובש,12
,אליאב,12
,אורים,11
,אלפי מנשה,11
,תראבין א-צאנע )שבט(,11
,רמת יוחנן,11
,אשכולות,11
,מעלה אדומים,11
,הזורע,11
,אום בטין,10
,בארות יצחק,10
,גבעות עדן,9
,חוסנייה,9
,מעגן מיכאל,9
,שער הגולן,9
,נצר חזני,9
,מסעדה,9
,אבו קרינאת )יישוב(,9
,ריחן,8
,גאולי תימן,8
,משואות יצחק,7
,תפרח,7
,עין קנייא,7
,הר אדר,7
,ח'ואלד,7
,שומריה,6
,מעלה אפרים,6
,מאיר שפיה,6
,הר גילה,6
,עין חוד,6
,נאות סמדר,6
,שבי דרום,6
,ורד יריחו,5
,תלמי יוסף,5
,עברון,5
,כרם בן שמן,5
,יד השמונה,5
,נווה חריף,5
,קבוצת יבנה,5
,עמנואל,4
,מגן,4
,אפרת,4
,אריאל,4
,אדורה,4
,נועם,4
,כפר עבודה,4
,בית ברל,4
,עמיעוז,4
,ראס אל-עין,4
,מפלסים,4
,אורטל,4
,רימונים,4
,עין חרוד )איחוד(,4
,אבו תלול,4
,שיזף,4
,תראבין א-צאנע)ישוב(,3
,תומר,3
,חצרים,3
,גלעד )אבן יצחק(,3
,צאלים,3
,אבו סריחאן )שבט(,3
,בית אל,3
,כפר סילבר,3
,רותם,3
,סנסנה,3
,בוקעאתא,3
,קטורה,3
,ברעם,2
,אבו עבדון )שבט(,2
,תלם,2
,ניר יצחק,2
,עין חצבה,2
,שחרות,2
,מקווה ישראל,2
,אלון שבות,2
,בארי,2
,אבו עמאר )שבט(,2
,גבע בנימין,2
,רביד,2
,עלי,2
,עלי זהב,2
,סאסא,2
,מחנה יתיר,2
,חשמונאים,2
,פדואל,2
,צופיה,2
,שער מנשה,2
,מדרשת רופין,1
,בת עין,1
,אלקנה,1
,גיתית,1
,מבוא חורון,1
,כחלה,1
,נעלה,1
,עלמון,1
,אבו רוקייק )שבט(,1
,אשל הנשיא,1
,שילה,1
,גרופית,1
,עטרת,1
,ניצן ב',1
,כוכב השחר,1
,מתתיהו,1
,כפר גלים,1
,טנא,1
,קדמה,1
,מבוא דותן,1
,גני מודיעין,1
,בית אריה,1
,קרני שומרון,1
,סוסיה,1
,חיננית,1
,עופרה,1
,בית רבן,1
,כוכב יעקב,1
,חולית,1
