dataset,city,year,deals
odata_all_cities,אופקים,2000,22
odata_all_cities,אופקים,2001,24
odata_all_cities,אופקים,2002,25
odata_all_cities,אופקים,2003,32
odata_all_cities,אופקים,2004,20
odata_all_cities,אופקים,2005,30
odata_all_cities,אופקים,2006,23
odata_all_cities,אופקים,2007,17
odata_all_cities,אופקים,2008,20
odata_all_cities,אופקים,2009,37
odata_all_cities,אופקים,2010,116
odata_all_cities,אופקים,2011,123
odata_all_cities,אופקים,2012,119
odata_all_cities,אופקים,2013,130
odata_all_cities,אופקים,2014,173
odata_all_cities,אופקים,2015,159
odata_all_cities,אופקים,2016,270
odata_all_cities,אופקים,2017,328
odata_all_cities,אופקים,2018,355
odata_all_cities,אופקים,2019,292
odata_all_cities,אופקים,2020,251
odata_all_cities,אופקים,2021,389
odata_all_cities,אופקים,2022,320
odata_all_cities,אופקים,2023,221
odata_all_cities,אופקים,2024,137
odata_all_cities,אור יהודה,1998,59
odata_all_cities,אור יהודה,1999,46
odata_all_cities,אור יהודה,2000,53
odata_all_cities,אור יהודה,2001,75
odata_all_cities,אור יהודה,2002,110
odata_all_cities,אור יהודה,2003,80
odata_all_cities,אור יהודה,2004,93
odata_all_cities,אור יהודה,2005,81
odata_all_cities,אור יהודה,2006,111
odata_all_cities,אור יהודה,2007,218
odata_all_cities,אור יהודה,2008,224
odata_all_cities,אור יהודה,2009,198
odata_all_cities,אור יהודה,2010,280
odata_all_cities,אור יהודה,2011,182
odata_all_cities,אור יהודה,2012,243
odata_all_cities,אור יהודה,2013,304
odata_all_cities,אור יהודה,2014,337
odata_all_cities,אור יהודה,2015,348
odata_all_cities,אור יהודה,2016,326
odata_all_cities,אור יהודה,2017,264
odata_all_cities,אור יהודה,2018,276
odata_all_cities,אור יהודה,2019,279
odata_all_cities,אור יהודה,2020,301
odata_all_cities,אור יהודה,2021,453
odata_all_cities,אור יהודה,2022,299
odata_all_cities,אור יהודה,2023,185
odata_all_cities,אור יהודה,2024,146
odata_all_cities,אור עקיבא,1998,14
odata_all_cities,אור עקיבא,1999,12
odata_all_cities,אור עקיבא,2000,14
odata_all_cities,אור עקיבא,2001,20
odata_all_cities,אור עקיבא,2002,16
odata_all_cities,אור עקיבא,2003,26
odata_all_cities,אור עקיבא,2004,38
odata_all_cities,אור עקיבא,2005,42
odata_all_cities,אור עקיבא,2006,62
odata_all_cities,אור עקיבא,2007,64
odata_all_cities,אור עקיבא,2008,92
odata_all_cities,אור עקיבא,2009,72
odata_all_cities,אור עקיבא,2010,114
odata_all_cities,אור עקיבא,2011,136
odata_all_cities,אור עקיבא,2012,140
odata_all_cities,אור עקיבא,2013,232
odata_all_cities,אור עקיבא,2014,198
odata_all_cities,אור עקיבא,2015,330
odata_all_cities,אור עקיבא,2016,220
odata_all_cities,אור עקיבא,2017,222
odata_all_cities,אור עקיבא,2018,162
odata_all_cities,אור עקיבא,2019,274
odata_all_cities,אור עקיבא,2020,260
odata_all_cities,אור עקיבא,2021,452
odata_all_cities,אור עקיבא,2022,448
odata_all_cities,אור עקיבא,2023,276
odata_all_cities,אור עקיבא,2024,238
odata_all_cities,אורה,2000,2
odata_all_cities,אורה,2001,2
odata_all_cities,אורה,2007,2
odata_all_cities,אורה,2008,2
odata_all_cities,אורה,2009,2
odata_all_cities,אורה,2012,4
odata_all_cities,אורה,2013,2
odata_all_cities,אורה,2017,2
odata_all_cities,אורה,2018,2
odata_all_cities,אורה,2021,6
odata_all_cities,אורה,2022,2
odata_all_cities,אורנית,1998,2
odata_all_cities,אורנית,1999,12
odata_all_cities,אורנית,2000,24
odata_all_cities,אורנית,2001,6
odata_all_cities,אורנית,2002,12
odata_all_cities,אורנית,2003,10
odata_all_cities,אורנית,2004,30
odata_all_cities,אורנית,2005,46
odata_all_cities,אורנית,2006,48
odata_all_cities,אורנית,2007,74
odata_all_cities,אורנית,2008,78
odata_all_cities,אורנית,2009,58
odata_all_cities,אורנית,2010,44
odata_all_cities,אורנית,2011,42
odata_all_cities,אורנית,2012,62
odata_all_cities,אורנית,2013,44
odata_all_cities,אורנית,2014,40
odata_all_cities,אורנית,2015,54
odata_all_cities,אורנית,2016,44
odata_all_cities,אורנית,2017,78
odata_all_cities,אורנית,2018,40
odata_all_cities,אורנית,2019,52
odata_all_cities,אורנית,2020,46
odata_all_cities,אורנית,2021,70
odata_all_cities,אורנית,2022,52
odata_all_cities,אורנית,2023,18
odata_all_cities,אורנית,2024,10
odata_all_cities,אזור,1998,36
odata_all_cities,אזור,1999,92
odata_all_cities,אזור,2000,54
odata_all_cities,אזור,2001,50
odata_all_cities,אזור,2002,64
odata_all_cities,אזור,2003,72
odata_all_cities,אזור,2004,72
odata_all_cities,אזור,2005,62
odata_all_cities,אזור,2006,122
odata_all_cities,אזור,2007,156
odata_all_cities,אזור,2008,164
odata_all_cities,אזור,2009,116
odata_all_cities,אזור,2010,96
odata_all_cities,אזור,2011,48
odata_all_cities,אזור,2012,84
odata_all_cities,אזור,2013,78
odata_all_cities,אזור,2014,108
odata_all_cities,אזור,2015,130
odata_all_cities,אזור,2016,120
odata_all_cities,אזור,2017,130
odata_all_cities,אזור,2018,178
odata_all_cities,אזור,2019,160
odata_all_cities,אזור,2020,146
odata_all_cities,אזור,2021,230
odata_all_cities,אזור,2022,126
odata_all_cities,אזור,2023,98
odata_all_cities,אזור,2024,76
odata_all_cities,אחווה,1998,2
odata_all_cities,אחווה,2002,2
odata_all_cities,אחווה,2004,2
odata_all_cities,אחווה,2005,2
odata_all_cities,אחווה,2006,2
odata_all_cities,אחווה,2008,4
odata_all_cities,אחווה,2009,2
odata_all_cities,אחווה,2012,6
odata_all_cities,אחווה,2013,4
odata_all_cities,אחווה,2015,2
odata_all_cities,אחווה,2016,8
odata_all_cities,אחווה,2017,8
odata_all_cities,אחווה,2018,2
odata_all_cities,אחווה,2019,2
odata_all_cities,אחווה,2021,4
odata_all_cities,אחווה,2023,2
odata_all_cities,אחווה,2024,2
odata_all_cities,אחוזת ברק,1998,48
odata_all_cities,אחוזת ברק,1999,16
odata_all_cities,אחוזת ברק,2000,32
odata_all_cities,אחוזת ברק,2001,10
odata_all_cities,אחוזת ברק,2002,24
odata_all_cities,אחוזת ברק,2003,16
odata_all_cities,אחוזת ברק,2004,16
odata_all_cities,אחוזת ברק,2005,22
odata_all_cities,אחוזת ברק,2006,20
odata_all_cities,אחוזת ברק,2007,26
odata_all_cities,אחוזת ברק,2008,50
odata_all_cities,אחוזת ברק,2009,134
odata_all_cities,אחוזת ברק,2010,118
odata_all_cities,אחוזת ברק,2011,82
odata_all_cities,אחוזת ברק,2012,96
odata_all_cities,אחוזת ברק,2013,36
odata_all_cities,אחוזת ברק,2014,30
odata_all_cities,אחוזת ברק,2015,14
odata_all_cities,אחוזת ברק,2016,22
odata_all_cities,אחוזת ברק,2017,18
odata_all_cities,אחוזת ברק,2018,34
odata_all_cities,אחוזת ברק,2019,32
odata_all_cities,אחוזת ברק,2020,32
odata_all_cities,אחוזת ברק,2021,54
odata_all_cities,אחוזת ברק,2022,28
odata_all_cities,אחוזת ברק,2023,12
odata_all_cities,אחוזת ברק,2024,12
odata_all_cities,אחיטוב,2002,2
odata_all_cities,אחיטוב,2010,2
odata_all_cities,אחיטוב,2013,2
odata_all_cities,אחיטוב,2016,4
odata_all_cities,אחיטוב,2017,2
odata_all_cities,אחיטוב,2018,4
odata_all_cities,אחיטוב,2019,4
odata_all_cities,אחיטוב,2020,4
odata_all_cities,אחיטוב,2021,4
odata_all_cities,אחיטוב,2022,2
odata_all_cities,אחיטוב,2023,2
odata_all_cities,אחיסמך,2014,2
odata_all_cities,אחיסמך,2016,2
odata_all_cities,אחיסמך,2022,2
odata_all_cities,אחיסמך,2023,2
odata_all_cities,אילת,1998,159
odata_all_cities,אילת,1999,197
odata_all_cities,אילת,2000,140
odata_all_cities,אילת,2001,183
odata_all_cities,אילת,2002,117
odata_all_cities,אילת,2003,192
odata_all_cities,אילת,2004,202
odata_all_cities,אילת,2005,203
odata_all_cities,אילת,2006,193
odata_all_cities,אילת,2007,344
odata_all_cities,אילת,2008,330
odata_all_cities,אילת,2009,434
odata_all_cities,אילת,2010,663
odata_all_cities,אילת,2011,654
odata_all_cities,אילת,2012,990
odata_all_cities,אילת,2013,794
odata_all_cities,אילת,2014,853
odata_all_cities,אילת,2015,1025
odata_all_cities,אילת,2016,918
odata_all_cities,אילת,2017,756
odata_all_cities,אילת,2018,770
odata_all_cities,אילת,2019,923
odata_all_cities,אילת,2020,852
odata_all_cities,אילת,2021,1379
odata_all_cities,אילת,2022,1076
odata_all_cities,אילת,2023,633
odata_all_cities,אילת,2024,428
odata_all_cities,אשדוד,1998,867
odata_all_cities,אשדוד,1999,1096
odata_all_cities,אשדוד,2000,656
odata_all_cities,אשדוד,2001,673
odata_all_cities,אשדוד,2002,758
odata_all_cities,אשדוד,2003,756
odata_all_cities,אשדוד,2004,756
odata_all_cities,אשדוד,2005,517
odata_all_cities,אשדוד,2006,684
odata_all_cities,אשדוד,2007,1662
odata_all_cities,אשדוד,2008,1861
odata_all_cities,אשדוד,2009,2061
odata_all_cities,אשדוד,2010,2257
odata_all_cities,אשדוד,2011,1934
odata_all_cities,אשדוד,2012,2222
odata_all_cities,אשדוד,2013,2465
odata_all_cities,אשדוד,2014,2485
odata_all_cities,אשדוד,2015,3010
odata_all_cities,אשדוד,2016,2524
odata_all_cities,אשדוד,2017,2100
odata_all_cities,אשדוד,2018,2612
odata_all_cities,אשדוד,2019,2810
odata_all_cities,אשדוד,2020,3062
odata_all_cities,אשדוד,2021,4481
odata_all_cities,אשדוד,2022,3734
odata_all_cities,אשדוד,2023,2009
odata_all_cities,אשדוד,2024,1573
odata_all_cities,אשקלון,1998,153
odata_all_cities,אשקלון,1999,207
odata_all_cities,אשקלון,2000,207
odata_all_cities,אשקלון,2001,202
odata_all_cities,אשקלון,2002,243
odata_all_cities,אשקלון,2003,204
odata_all_cities,אשקלון,2004,239
odata_all_cities,אשקלון,2005,199
odata_all_cities,אשקלון,2006,194
odata_all_cities,אשקלון,2007,431
odata_all_cities,אשקלון,2008,456
odata_all_cities,אשקלון,2009,709
odata_all_cities,אשקלון,2010,975
odata_all_cities,אשקלון,2011,914
odata_all_cities,אשקלון,2012,1135
odata_all_cities,אשקלון,2013,1409
odata_all_cities,אשקלון,2014,1405
odata_all_cities,אשקלון,2015,1607
odata_all_cities,אשקלון,2016,1439
odata_all_cities,אשקלון,2017,1129
odata_all_cities,אשקלון,2018,1057
odata_all_cities,אשקלון,2019,1153
odata_all_cities,אשקלון,2020,1210
odata_all_cities,אשקלון,2021,2253
odata_all_cities,אשקלון,2022,1623
odata_all_cities,אשקלון,2023,1173
odata_all_cities,אשקלון,2024,850
odata_all_cities,באר אורה,2002,2
odata_all_cities,באר אורה,2004,8
odata_all_cities,באר אורה,2005,3
odata_all_cities,באר אורה,2006,1
odata_all_cities,באר אורה,2007,5
odata_all_cities,באר אורה,2008,6
odata_all_cities,באר אורה,2009,13
odata_all_cities,באר אורה,2011,1
odata_all_cities,באר אורה,2012,1
odata_all_cities,באר אורה,2013,3
odata_all_cities,באר אורה,2014,7
odata_all_cities,באר אורה,2015,6
odata_all_cities,באר אורה,2016,17
odata_all_cities,באר אורה,2017,9
odata_all_cities,באר אורה,2018,10
odata_all_cities,באר אורה,2019,7
odata_all_cities,באר אורה,2020,11
odata_all_cities,באר אורה,2021,10
odata_all_cities,באר אורה,2022,6
odata_all_cities,באר אורה,2023,4
odata_all_cities,באר גנים,2018,2
odata_all_cities,באר גנים,2019,2
odata_all_cities,באר גנים,2020,4
odata_all_cities,באר גנים,2021,14
odata_all_cities,באר גנים,2022,5
odata_all_cities,באר גנים,2023,1
odata_all_cities,באר גנים,2024,5
odata_all_cities,באר יעקב,1999,2
odata_all_cities,באר יעקב,2001,1
odata_all_cities,באר יעקב,2004,1
odata_all_cities,באר יעקב,2005,1
odata_all_cities,באר יעקב,2006,1
odata_all_cities,באר יעקב,2007,4
odata_all_cities,באר יעקב,2008,31
odata_all_cities,באר יעקב,2009,43
odata_all_cities,באר יעקב,2010,51
odata_all_cities,באר יעקב,2011,9
odata_all_cities,באר יעקב,2012,2
odata_all_cities,באר יעקב,2013,5
odata_all_cities,באר יעקב,2014,44
odata_all_cities,באר יעקב,2015,63
odata_all_cities,באר יעקב,2016,11
odata_all_cities,באר יעקב,2017,8
odata_all_cities,באר יעקב,2018,19
odata_all_cities,באר יעקב,2019,24
odata_all_cities,באר יעקב,2020,24
odata_all_cities,באר יעקב,2021,48
odata_all_cities,באר יעקב,2022,37
odata_all_cities,באר יעקב,2023,13
odata_all_cities,באר יעקב,2024,12
odata_all_cities,באר שבע,1998,436
odata_all_cities,באר שבע,1999,446
odata_all_cities,באר שבע,2000,346
odata_all_cities,באר שבע,2001,556
odata_all_cities,באר שבע,2002,502
odata_all_cities,באר שבע,2003,491
odata_all_cities,באר שבע,2004,397
odata_all_cities,באר שבע,2005,275
odata_all_cities,באר שבע,2006,232
odata_all_cities,באר שבע,2007,429
odata_all_cities,באר שבע,2008,598
odata_all_cities,באר שבע,2009,602
odata_all_cities,באר שבע,2010,1182
odata_all_cities,באר שבע,2011,1200
odata_all_cities,באר שבע,2012,1754
odata_all_cities,באר שבע,2013,1986
odata_all_cities,באר שבע,2014,1652
odata_all_cities,באר שבע,2015,2102
odata_all_cities,באר שבע,2016,2296
odata_all_cities,באר שבע,2017,1910
odata_all_cities,באר שבע,2018,1858
odata_all_cities,באר שבע,2019,1972
odata_all_cities,באר שבע,2020,2044
odata_all_cities,באר שבע,2021,3160
odata_all_cities,באר שבע,2022,3174
odata_all_cities,באר שבע,2023,2143
odata_all_cities,באר שבע,2024,1722
odata_all_cities,בארותיים,2020,1
odata_all_cities,בארותיים,2021,1
odata_all_cities,בארותיים,2023,1
odata_all_cities,בוסתן הגליל,1998,1
odata_all_cities,בוסתן הגליל,2001,1
odata_all_cities,בוסתן הגליל,2002,1
odata_all_cities,בוסתן הגליל,2005,2
odata_all_cities,בוסתן הגליל,2008,1
odata_all_cities,בוסתן הגליל,2009,1
odata_all_cities,בוסתן הגליל,2010,1
odata_all_cities,בוסתן הגליל,2011,1
odata_all_cities,בוסתן הגליל,2012,1
odata_all_cities,בוסתן הגליל,2016,1
odata_all_cities,בוסתן הגליל,2021,3
odata_all_cities,בוסתן הגליל,2022,2
odata_all_cities,בוסתן הגליל,2023,1
odata_all_cities,בורגתה,2009,1
odata_all_cities,בורגתה,2022,2
odata_all_cities,בורגתה,2024,1
odata_all_cities,בחן,2009,1
odata_all_cities,בחן,2010,1
odata_all_cities,בחן,2011,3
odata_all_cities,בחן,2013,2
odata_all_cities,בחן,2014,3
odata_all_cities,בחן,2015,3
odata_all_cities,בחן,2016,5
odata_all_cities,בחן,2017,3
odata_all_cities,בחן,2018,1
odata_all_cities,בחן,2019,5
odata_all_cities,בחן,2020,5
odata_all_cities,בחן,2021,2
odata_all_cities,בחן,2022,4
odata_all_cities,בחן,2023,1
odata_all_cities,בית אל,2009,2
odata_all_cities,בית אל,2013,2
odata_all_cities,בית אל,2014,2
odata_all_cities,בית אל,2016,3
odata_all_cities,בית אל,2017,1
odata_all_cities,בית אל,2018,8
odata_all_cities,בית אל,2019,5
odata_all_cities,בית אל,2020,1
odata_all_cities,בית אל,2021,1
odata_all_cities,בית אל,2022,2
odata_all_cities,בית אלעזרי,2007,1
odata_all_cities,בית אלעזרי,2009,1
odata_all_cities,בית אלעזרי,2011,1
odata_all_cities,בית אלעזרי,2012,1
odata_all_cities,בית אלעזרי,2013,1
odata_all_cities,בית אלעזרי,2014,2
odata_all_cities,בית אלעזרי,2015,2
odata_all_cities,בית אלעזרי,2017,2
odata_all_cities,בית אלעזרי,2018,2
odata_all_cities,בית אלעזרי,2019,2
odata_all_cities,בית אלעזרי,2020,1
odata_all_cities,בית אלעזרי,2021,2
odata_all_cities,בית אלעזרי,2022,1
odata_all_cities,בית אלעזרי,2023,1
odata_all_cities,בית אלעזרי,2024,1
odata_all_cities,בית אלפא,2016,18
odata_all_cities,בית אלפא,2017,12
odata_all_cities,בית אלפא,2019,6
odata_all_cities,בית אלפא,2020,3
odata_all_cities,בית אלפא,2021,1
odata_all_cities,בית אלפא,2022,3
odata_all_cities,בית אלפא,2023,4
odata_all_cities,בית אלפא,2024,2
odata_all_cities,בית אריה,2000,1
odata_all_cities,בית אריה,2007,1
odata_all_cities,בית אריה,2008,2
odata_all_cities,בית אריה,2009,1
odata_all_cities,בית אריה,2012,3
odata_all_cities,בית אריה,2013,2
odata_all_cities,בית אריה,2014,4
odata_all_cities,בית אריה,2015,3
odata_all_cities,בית אריה,2016,2
odata_all_cities,בית אריה,2017,12
odata_all_cities,בית אריה,2018,14
odata_all_cities,בית אריה,2019,13
odata_all_cities,בית אריה,2020,13
odata_all_cities,בית אריה,2021,25
odata_all_cities,בית אריה,2022,25
odata_all_cities,בית אריה,2023,10
odata_all_cities,בית אריה,2024,12
odata_all_cities,בית ג'ן,1999,1
odata_all_cities,בית ג'ן,2001,2
odata_all_cities,בית ג'ן,2002,2
odata_all_cities,בית ג'ן,2003,2
odata_all_cities,בית ג'ן,2004,2
odata_all_cities,בית ג'ן,2005,1
odata_all_cities,בית ג'ן,2006,1
odata_all_cities,בית ג'ן,2008,1
odata_all_cities,בית ג'ן,2009,2
odata_all_cities,בית ג'ן,2010,2
odata_all_cities,בית ג'ן,2011,1
odata_all_cities,בית ג'ן,2012,1
odata_all_cities,בית ג'ן,2013,2
odata_all_cities,בית ג'ן,2014,1
odata_all_cities,בית ג'ן,2016,2
odata_all_cities,בית ג'ן,2017,1
odata_all_cities,בית ג'ן,2018,7
odata_all_cities,בית ג'ן,2019,7
odata_all_cities,בית ג'ן,2020,10
odata_all_cities,בית ג'ן,2021,17
odata_all_cities,בית ג'ן,2022,23
odata_all_cities,בית ג'ן,2023,19
odata_all_cities,בית ג'ן,2024,9
odata_all_cities,בית דגן,1998,3
odata_all_cities,בית דגן,1999,10
odata_all_cities,בית דגן,2000,4
odata_all_cities,בית דגן,2001,13
odata_all_cities,בית דגן,2002,21
odata_all_cities,בית דגן,2003,11
odata_all_cities,בית דגן,2004,18
odata_all_cities,בית דגן,2005,12
odata_all_cities,בית דגן,2006,19
odata_all_cities,בית דגן,2007,18
odata_all_cities,בית דגן,2008,23
odata_all_cities,בית דגן,2009,24
odata_all_cities,בית דגן,2010,24
odata_all_cities,בית דגן,2011,16
odata_all_cities,בית דגן,2012,18
odata_all_cities,בית דגן,2013,23
odata_all_cities,בית דגן,2014,31
odata_all_cities,בית דגן,2015,28
odata_all_cities,בית דגן,2016,28
odata_all_cities,בית דגן,2017,33
odata_all_cities,בית דגן,2018,22
odata_all_cities,בית דגן,2019,24
odata_all_cities,בית דגן,2020,35
odata_all_cities,בית דגן,2021,42
odata_all_cities,בית דגן,2022,41
odata_all_cities,בית דגן,2023,20
odata_all_cities,בית דגן,2024,11
odata_all_cities,בית זית,2000,1
odata_all_cities,בית זית,2001,1
odata_all_cities,בית זית,2002,3
odata_all_cities,בית זית,2003,1
odata_all_cities,בית זית,2004,1
odata_all_cities,בית זית,2008,2
odata_all_cities,בית זית,2009,2
odata_all_cities,בית זית,2012,1
odata_all_cities,בית זית,2013,2
odata_all_cities,בית זית,2014,2
odata_all_cities,בית זית,2015,1
odata_all_cities,בית זית,2016,1
odata_all_cities,בית זית,2018,2
odata_all_cities,בית זית,2020,1
odata_all_cities,בית זית,2021,3
odata_all_cities,בית זית,2022,3
odata_all_cities,בית זית,2023,5
odata_all_cities,בית חירות,2021,1
odata_all_cities,בית חירות,2022,1
odata_all_cities,בית חירות,2024,1
odata_all_cities,בית חנן,2023,1
odata_all_cities,בית חשמונאי,2006,1
odata_all_cities,בית חשמונאי,2007,3
odata_all_cities,בית חשמונאי,2008,2
odata_all_cities,בית חשמונאי,2009,1
odata_all_cities,בית חשמונאי,2010,4
odata_all_cities,בית חשמונאי,2011,3
odata_all_cities,בית חשמונאי,2012,2
odata_all_cities,בית חשמונאי,2013,4
odata_all_cities,בית חשמונאי,2014,7
odata_all_cities,בית חשמונאי,2015,4
odata_all_cities,בית חשמונאי,2016,2
odata_all_cities,בית חשמונאי,2017,1
odata_all_cities,בית חשמונאי,2018,4
odata_all_cities,בית חשמונאי,2019,5
odata_all_cities,בית חשמונאי,2020,6
odata_all_cities,בית חשמונאי,2021,6
odata_all_cities,בית חשמונאי,2022,3
odata_all_cities,בית חשמונאי,2023,3
odata_all_cities,בית חשמונאי,2024,1
odata_all_cities,בית יהושע,2006,1
odata_all_cities,בית יהושע,2007,1
odata_all_cities,בית יהושע,2008,1
odata_all_cities,בית יהושע,2021,1
odata_all_cities,בית יהושע,2023,1
odata_all_cities,בית ינאי,2001,1
odata_all_cities,בית ינאי,2006,1
odata_all_cities,בית ינאי,2008,1
odata_all_cities,בית ינאי,2010,1
odata_all_cities,בית ינאי,2012,1
odata_all_cities,בית ינאי,2013,3
odata_all_cities,בית ינאי,2020,1
odata_all_cities,בית ינאי,2021,5
odata_all_cities,בית ינאי,2022,2
odata_all_cities,בית ינאי,2023,2
odata_all_cities,בית יצחק-שער חפר,2000,1
odata_all_cities,בית יצחק-שער חפר,2005,1
odata_all_cities,בית יצחק-שער חפר,2006,1
odata_all_cities,בית יצחק-שער חפר,2008,1
odata_all_cities,בית יצחק-שער חפר,2010,1
odata_all_cities,בית יצחק-שער חפר,2012,1
odata_all_cities,בית יצחק-שער חפר,2013,5
odata_all_cities,בית יצחק-שער חפר,2014,4
odata_all_cities,בית יצחק-שער חפר,2015,1
odata_all_cities,בית יצחק-שער חפר,2016,5
odata_all_cities,בית יצחק-שער חפר,2017,3
odata_all_cities,בית יצחק-שער חפר,2018,5
odata_all_cities,בית יצחק-שער חפר,2019,1
odata_all_cities,בית יצחק-שער חפר,2020,2
odata_all_cities,בית יצחק-שער חפר,2021,8
odata_all_cities,בית יצחק-שער חפר,2022,8
odata_all_cities,בית יצחק-שער חפר,2023,5
odata_all_cities,בית נחמיה,2007,2
odata_all_cities,בית נחמיה,2008,1
odata_all_cities,בית נחמיה,2009,1
odata_all_cities,בית נחמיה,2012,1
odata_all_cities,בית נחמיה,2013,1
odata_all_cities,בית נחמיה,2014,1
odata_all_cities,בית נחמיה,2015,3
odata_all_cities,בית נחמיה,2016,2
odata_all_cities,בית נחמיה,2018,2
odata_all_cities,בית נחמיה,2021,2
odata_all_cities,בית נחמיה,2022,1
odata_all_cities,בית שאן,1998,22
odata_all_cities,בית שאן,1999,29
odata_all_cities,בית שאן,2000,20
odata_all_cities,בית שאן,2001,36
odata_all_cities,בית שאן,2002,30
odata_all_cities,בית שאן,2003,25
odata_all_cities,בית שאן,2004,25
odata_all_cities,בית שאן,2005,20
odata_all_cities,בית שאן,2006,33
odata_all_cities,בית שאן,2007,36
odata_all_cities,בית שאן,2008,42
odata_all_cities,בית שאן,2009,39
odata_all_cities,בית שאן,2010,47
odata_all_cities,בית שאן,2011,48
odata_all_cities,בית שאן,2012,50
odata_all_cities,בית שאן,2013,49
odata_all_cities,בית שאן,2014,65
odata_all_cities,בית שאן,2015,152
odata_all_cities,בית שאן,2016,197
odata_all_cities,בית שאן,2017,151
odata_all_cities,בית שאן,2018,136
odata_all_cities,בית שאן,2019,90
odata_all_cities,בית שאן,2020,112
odata_all_cities,בית שאן,2021,162
odata_all_cities,בית שאן,2022,235
odata_all_cities,בית שאן,2023,192
odata_all_cities,בית שאן,2024,56
odata_all_cities,בית שמש,1998,78
odata_all_cities,בית שמש,1999,152
odata_all_cities,בית שמש,2000,123
odata_all_cities,בית שמש,2001,151
odata_all_cities,בית שמש,2002,166
odata_all_cities,בית שמש,2003,214
odata_all_cities,בית שמש,2004,195
odata_all_cities,בית שמש,2005,164
odata_all_cities,בית שמש,2006,116
odata_all_cities,בית שמש,2007,331
odata_all_cities,בית שמש,2008,363
odata_all_cities,בית שמש,2009,434
odata_all_cities,בית שמש,2010,466
odata_all_cities,בית שמש,2011,549
odata_all_cities,בית שמש,2012,617
odata_all_cities,בית שמש,2013,605
odata_all_cities,בית שמש,2014,602
odata_all_cities,בית שמש,2015,641
odata_all_cities,בית שמש,2016,674
odata_all_cities,בית שמש,2017,612
odata_all_cities,בית שמש,2018,615
odata_all_cities,בית שמש,2019,1123
odata_all_cities,בית שמש,2020,1109
odata_all_cities,בית שמש,2021,1288
odata_all_cities,בית שמש,2022,829
odata_all_cities,בית שמש,2023,549
odata_all_cities,בית שמש,2024,383
odata_all_cities,בית שערים,2001,1
odata_all_cities,בית שערים,2007,1
odata_all_cities,בית שערים,2008,1
odata_all_cities,בית שערים,2009,1
odata_all_cities,בית שערים,2010,1
odata_all_cities,בית שערים,2011,1
odata_all_cities,בית שערים,2017,1
odata_all_cities,בית שערים,2018,2
odata_all_cities,בית שערים,2021,1
